"Country","NCD","Agriculture_Land","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Albania",4.21052631578947,43.1021897810219,0.65565127521023,0.000362527216817,6365.53035936449,275.14252038,13145.63,10.1
"Algeria",1.1869103938639,17.344042590711,1.08761925022252,0.004706747653394,6162.71983982498,185.84823354,349.8231,4.6
"Angola",6.99131675615311,46.274163792412,0.657618232301606,0.005864105117407,5488.45774780583,148.87881676,8938.79,5
"Argentina",2.80303865639853,51.5220942086974,1.93017265469479,0.002086386721477,13457.9487462775,698.45126835,20800.16,9.7
"Armenia",2.6960472126693,61.3412921348315,0.973201146963369,0.000258865371456,5346.9806575419,142.71827452,2581.4499,11.2
"Australia",1.21596240618382,54.3181078583237,5.77881731283578,0.013992916970522,34444.3330639544,4229.03306558,23964.43,11.8
"Austria",1.09412074874769,38.4596725288053,4.02380085897368,0.001345537165453,36700.3072450903,5153.35866142,9330.59,11.8
"Azerbaijan",1.72590670448374,57.5647542967804,1.5154813200356,0.006555938660047,8330.51262498759,233.86044575,4125.016,12
"Bahrain",3.57756153405839,9.21052631578947,8.78470750000713,0.016622412123619,31538.9359959238,793.46605183,156.9873,8.9
"Belarus",3.2604745340325,43.9477575160177,2.93119579254322,0.000416531156354,11533.7399896272,373.3470911,5953.52,11.7
"Belgium",1.24424118102028,45.3434610303831,5.46958157597596,0.001371882087879,33506.6017580775,4754.27522232,1754.5,12
"Benin",1.87269205334831,30.6906526848671,0.392489450668862,0.0002321532603,1447.6369264305,33,3013.0182,3.6
"Bolivia",2.80836878676946,33.9878150096926,0.617864844560453,0.001680905978147,3956.39668706737,85.35091165,66553.4797,8.3
"Bosnia and Herzegovina",2.64827425644607,41.7647058823529,1.5775687013071,0.001152223909719,7739.97652360728,505.60255386,9550.71,9.2
"Botswana",3.43096765995298,45.6160782030244,1.10067208165245,0.000530446761905,13240.0610624653,535.99084407,6587.15,5.1
"Brazil",2.7299119896472,31.290561291436,1.29654122948752,0.001191397585079,9681.54835486593,714.98985619,43486.53,6.7
"Bulgaria",2.17358407505744,46.9662093729859,2.59611957664531,0.001349447171389,11426.8799052783,474.17284604,2768.91,11.8
"Cambodia",5.80404096318849,31.4695218672105,0.254186246856969,0.000261025965799,1797.20037839448,38.85543014,33536.877,5.3
"Cameroon",2.33569553321302,19.4897505870407,0.340917516055683,0.000495881874608,2020.09822964906,63.83446755,15708.65,6.5
"Canada",1.37636113903796,7.43387316888638,7.94584649320339,0.012184057353176,35978.2095484015,4622.62643606,89081.63,14.1
