"Country","Child_per_Women"
"Afghanistan",6.196
"Albania",1.761
"Algeria",2.725
"Angola",6.434
"Antigua and Barbuda",2.164
"Argentina",2.241
"Armenia",1.4
"Aruba",1.726
"Australia",1.956
"Austria",1.411
"Azerbaijan",1.986
"Bahamas",1.889
"Bahrain",2.229
"Bangladesh",2.377
"Barbados",1.831
"Belarus",1.416
"Belgium",1.819
"Belize",2.907
"Benin",5.273
"Bhutan",2.506
"Bolivia",3.477
"Bosnia and Herzegovina",1.218
"Botswana",2.86
"Brazil",1.897
"Brunei",2.095
"Bulgaria",1.433
"Burkina Faso",6.037
"Burundi",6.481
"Cambodia",3.051
"Cameroon",5.167
"Canada",1.6808
"Cape Verde",2.567
"Central African Rep.",4.809
"Chad",6.805
"Channel Islands",1.424
"Chile",1.888
"China",1.63
"Colombia",2.43
"Comoros",5.051
"Congo, Dem. Rep.",6.454
"Congo, Rep.",5.101
"Costa Rica",1.909
"Cote d'Ivoire",4.913
"Croatia",1.432
"Cuba",1.498
"Cyprus",1.493
"Czech Rep.",1.434
"Denmark",1.8923
"Djibouti",3.755
"Dominican Rep.",2.652
"Ecuador",2.728
"Egypt",2.954
"El Salvador",2.319
"Equatorial Guinea",5.314
"Eritrea",5.163
"Estonia",1.619
"Ethiopia",5.193
"Fiji",2.736
"Finland",1.85
"France",1.973
"French Guiana",3.257
"French Polynesia",2.156
"Gabon",4.275
"Gambia",5.798
"Georgia",1.788
"Germany",1.368
"Ghana",4.188
"Greece",1.459
"Greenland",2.247
"Grenada",2.282
"Guadeloupe",2.132
"Guam",2.529
"Guatemala",4.119
"Guinea",5.343
"Guinea-Bissau",5.247
"Guyana",2.743
"Haiti",3.5
"Honduras",3.273
"Hong Kong, China",1.037
"Hungary",1.333
"Iceland",2.118
"India",2.643
"Indonesia",2.479
"Iran",1.88
"Iraq",4.343
"Ireland",2.002
"Israel",2.916
"Italy",1.392
"Jamaica",2.387
"Japan",1.343
"Jordan",3.586
"Kazakhstan",2.51
"Kenya",4.761
"Kiribati",3.133
"Korea, Dem. Rep.",2.005
"Korea, Rep.",1.228
"Kuwait",2.681
"Kyrgyzstan",2.815
"Laos",3.432
"Latvia",1.501
"Lebanon",1.57
"Lesotho",3.335
"Liberia",5.19
"Libya",2.637
"Lithuania",1.417
"Luxembourg",1.626
"Macao, China",0.939
"Macedonia, FYR",1.473
"Madagascar",4.794
"Malawi",5.781
"Malaysia",2.052
"Maldives",2.382
"Mali",6.817
"Malta",1.377
"Martinique",1.906
"Mauritania",4.939
"Mauritius",1.579
"Mayotte",4.24
"Mexico",2.346
"Micronesia, Fed. Sts.",3.589
"Moldova",1.487
"Mongolia",2.368
"Montenegro",1.722
"Morocco",2.443
"Mozambique",5.536
"Myanmar",2.049
"Namibia",3.364
"Nepal",2.899
"Netherlands",1.773
"Netherlands Antilles",1.97
"New Caledonia",2.221
"New Zealand",2.123
"Nicaragua",2.717
"Niger",7.588
"Nigeria",6.017
"Norway",1.96
"Oman",2.886
"Pakistan",3.581
"Panama",2.608
"Papua New Guinea",4.067
"Paraguay",3.063
"Peru",2.579
"Philippines",3.257
"Poland",1.334
"Portugal",1.358
"Puerto Rico",1.692
"Qatar",2.203
"Reunion",2.385
"Romania",1.34
"Russia",1.446
"Rwanda",5.062
"Saint Lucia",2.013
"Saint Vincent and the Grenadines",2.112
"Samoa",4.426
"Sao Tome and Principe",4.411
"Saudi Arabia",2.971
"Senegal",5.107
"Serbia",1.406
"Seychelles",2.284
"Sierra Leone",5.128
"Singapore",1.28
"Slovak Republic",1.309
"Slovenia",1.434
"Solomon Islands",4.359
"Somalia",7.056
"South Africa",2.538
"South Sudan",5.385
"Spain",1.419
"Sri Lanka",2.323
"Sudan",4.792
"Suriname",2.406
"Swaziland",3.699
"Sweden",1.917
"Switzerland",1.472
"Syria",3.173
"Taiwan",1.05
"Tajikistan",3.703
"Tanzania",5.543
"Thailand",1.477
"Timor-Leste",6.479
"Togo",4.876
"Tonga",4.012
"Trinidad and Tobago",1.796
"Tunisia",2.044
"Turkey",2.147
"Turkmenistan",2.482
"Uganda",6.338
"Ukraine",1.384
"United Arab Emirates",1.948
"United Kingdom",1.871
"United States",2.074
"Uruguay",2.107
"Uzbekistan",2.457
"Vanuatu",3.608
"Venezuela",2.531
"West Bank and Gaza",4.381
"Western Sahara",2.549
"Vietnam",1.862
"Virgin Islands (U.S.)",2.438
"Yemen, Rep.",4.829
"Zambia",5.881
"Zimbabwe",3.853
