"Country","GDP_per_Person"
"Afghanistan",984.805841434435
"Albania",6365.53035936449
"Algeria",6162.71983982498
"Andorra",37046.5027016922
"Angola",5488.45774780583
"Anguilla",24145.3738227523
"Antigua and Barbuda",17226.5807026447
"Argentina",13457.9487462775
"Armenia",5346.9806575419
"Aruba",25354.974229599
"Australia",34444.3330639544
"Austria",36700.3072450903
"Azerbaijan",8330.51262498759
"Bahamas",22560.0774446243
"Bahrain",31538.9359959238
"Bangladesh",1470.33214791842
"Barbados",16959.9006892376
"Belarus",11533.7399896272
"Belgium",33506.6017580775
"Belize",7297.02262590738
"Benin",1447.6369264305
"Bermuda",76096.2727753271
"Bhutan",4579.65710375918
"Bolivia",3956.39668706737
"Bosnia and Herzegovina",7739.97652360728
"Botswana",13240.0610624653
"Brazil",9681.54835486593
"British Virgin Islands",45013.2743316151
"Brunei",46525.232469598
"Bulgaria",11426.8799052783
"Burkina Faso",1220.95336872295
"Burundi",457.404497558135
"Cambodia",1797.20037839448
"Cameroon",2020.09822964906
"Canada",35978.2095484015
"Cape Verde",3444.57053913748
"Cayman Islands",49381.5613792147
"Central African Rep.",711.440652945228
"Chad",1656.47627304093
"Chile",13653.2996248994
"China",6481.59866430443
"Colombia",7186.0910111867
"Comoros",1026.02534523246
"Congo, Dem. Rep.",359.658528305841
"Congo, Rep.",3668.40677919881
"Cook Islands",18111.3183854006
"Costa Rica",9831.54755185184
"Cote d'Ivoire",1509.22750818159
"Croatia",14918.4507352992
"Cuba",9259.94522002074
"Cyprus",25900.624193734
"Czech Rep.",23294.8763238796
"Denmark",34629.1011975181
"Djibouti",2105.68582245068
"Dominica",9982.16802465885
"Dominican Rep.",6195.69108185505
"Ecuador",7091.73586355785
"Egypt",5762.2594433321
"El Salvador",5827.17660993382
"Equatorial Guinea",15059.5907096556
"Eritrea",562.014933000928
"Estonia",18983.7765250644
"Ethiopia",765.941212073413
"Fiji",4185.99726160958
"Finland",33162.4027330664
"France",30459.7213215217
"French Polynesia",26351.2514647297
"Gabon",12453.3906250536
"Gambia",739.335423557237
"Georgia",4345.65577490643
"Germany",33157.2439621593
"Ghana",1391.187032899
"Greece",27256.4673706908
"Greenland",37869.8955107796
"Grenada",9298.8476250119
"Guatemala",5261.71061883662
"Guinea",970.901874681017
"Guinea-Bissau",582.437533438509
"Guyana",3669.78460650045
"Haiti",1191.83611868498
"Honduras",3620.99921333898
"Hong Kong, China",40771.3728075742
"Hungary",17922.2716764316
"Iceland",37921.9535050198
"India",2605.77092476447
"Indonesia",3686.60305387481
"Iran",11679.1893016507
"Iraq",3496.68419227387
"Ireland",38163.91179621
"Israel",26036.3923440958
"Italy",27950.9520435783
"Jamaica",7274.02173559466
"Japan",31079.6707954382
"Jordan",5037.16615728507
"Kazakhstan",10477.1827452162
"Kenya",1436.09866877488
"Kiribati",3175.27934392005
"Korea, Dem. Rep.",1584.55230565388
"Korea, Rep.",23735.7702933565
"Kosovo",3526.0845972224
"Kuwait",45620.5963949171
"Kyrgyzstan",2018.20054907352
"Laos",2185.00672943914
"Latvia",15987.0100149469
"Lebanon",12016.9832476878
"Lesotho",1625.46860323032
"Liberia",437.713601161059
"Libya",11787.4844297538
"Liechtenstein",92607.2434361094
"Lithuania",17445.1557543887
"Luxembourg",73998.7104751099
"Macao, China",46784.5715106083
"Macedonia, FYR",8601.9909002895
"Madagascar",1089.08820974261
"Malawi",769.4260960504
"Malaysia",12969.6741467774
"Maldives",5654.0258050368
"Mali",1078.48845139799
"Malta",22214.5263028362
"Marshall Islands",6244.02285042291
"Mauritania",1822.58284007474
"Mauritius",11617.6084152851
"Mexico",11870.9570323346
"Micronesia, Fed. Sts.",5330.06601704576
"Moldova",2769.37034345943
"Monaco",46986.1555351244
"Mongolia",3300.27451367588
"Montenegro",9809.7045983702
"Montserrat",12038.985091911
"Morocco",4011.37704345564
"Mozambique",872.109691194885
"Myanmar",1445.05661058846
"Namibia",5025.94060935855
"Nauru",9578.96685038567
"Nepal",1138.86976511345
"Netherlands",37692.2980578829
"Netherlands Antilles",23358.3785263902
"New Caledonia",33936.6705214889
"New Zealand",25160.5345750121
"Nicaragua",2904.07317946706
"Niger",643.805349299792
"Nigeria",2100.10575071392
