"Country","Health_Spending_per_Person"
"Afghanistan",31.80972721
"Albania",275.14252038
"Algeria",185.84823354
"Andorra",3391.47002882
"Angola",148.87881676
"Antigua and Barbuda",601.89284642
"Argentina",698.45126835
"Armenia",142.71827452
"Australia",4229.03306558
"Austria",5153.35866142
"Azerbaijan",233.86044575
"Bahamas",1833.42556935
"Bahrain",793.46605183
"Barbados",958.17848445
"Belarus",373.3470911
"Belgium",4754.27522232
"Belize",218.95707454
"Benin",33
"Bhutan",94.06479136
"Bolivia",85.35091165
"Bosnia and Herzegovina",505.60255386
"Botswana",535.99084407
"Brazil",714.98985619
"Brunei",877.06180369
"Bulgaria",474.17284604
"Burkina Faso",36.5127274
"Burundi",18.31932186
"Cambodia",38.85543014
"Cameroon",63.83446755
"Canada",4622.62643606
"Cape Verde",155.65526461
"Central African Republic",18.49351603
"Chad",28.03009406
"Chile",764.79717839
"China",156.59905287
"Colombia",376.99900347
"Comoros",34.45666035
"Congo, Dem. Rep.",13.70413496
"Congo, Rep.",80.40646768
"Cook Is",448.66090355
"Costa Rica",617.698283
"Cote d'Ivoire",71.8341187
"Croatia",1224.05169259
"Cuba",584.63866145
"Cyprus",1917.63775016
"Czech Republic",1473.82837181
"Denmark",6345.45678188
"Djibouti",82.4769433
"Dominica",328.09992757
"Dominican Republic",269.10607004
"Ecuador",270.06460048
"Egypt",101.23318902
"El Salvador",215.93487107
"Equatorial Guinea",750.74928627
"Eritrea",10.65961855
"Estonia",1057.76180424
"Ethiopia",14.04323536
"Fiji",153.0510915
"Finland",4253.8644363
"France",4940.96210783
"Gabon",263.33276432
"Gambia",26.37122177
"Georgia",261.87692087
"Germany",4718.15917267
"Ghana",68.51149554
"Greece",3078.40821387
"Grenada",474.09007171
"Guatemala",198.5067007
"Guinea",25.97621308
"Guinea-Bissau",33.13959396
"Guyana",153.50783449
"Haiti",35.33440734
"Honduras",115.68858452
"Hungary",1118.72597813
"Iceland",4929.15294483
"India",43.12475092
"Indonesia",53.36093578
"Iran",276.56244084
"Iraq",160.73176522
"Ireland",5241.04343506
"Israel",2073.08312967
"Italy",3471.67858616
"Jamaica",272.32557757
"Japan",3253.10202246
"Jordan",329.55214282
"Kazakhstan",329.80684978
"Kenya",32.99259206
"Kiribati",171.10824536
"South Korea",1237.40068635
"Kuwait",1116.62940353
"Kyrgyz Republic",56.32633626
"Lao",38.74417838
"Latvia",974.29906376
"Lebanon",555.76301814
"Lesotho",66.26062832
"Liberia",27.47533374
"Libya",468.62516883
"Lithuania",934.40671484
"Luxembourg",8054.81635894
"Macedonia, FYR",326.64042808
"Madagascar",21.642137
"Malawi",21.2317324
"Malaysia",306.35306225
"Maldives",454.99057309
"Mali",33.62161099
"Malta",1596.18750451
"Marshall Islands",476.04800988
"Mauritania",47.27623307
"Mauritius",395.07092927
"Mexico",597.703288
"Micronesia, Fed. Sts.",306.0551423
"Moldova",193.56839177
"Monaco",6692.00300296
"Mongolia",120.31288077
"Montenegro",573.91692048
"Morocco",147.36903771
"Mozambique",18.09859681
"Myanmar",10.65229369
"Namibia",275.23664539
"Nauru",577.23165026
"Netherlands",5236.86553894
"New Zealand",2820.19798906
"Nicaragua",105.21340786
"Niger",19.45087717
"Nigeria",79.29829413
"Niue",1731.06168558
"Norway",8070.92644725
"Oman",479.01366884
"Pakistan",22.06499551
"Palau",842.25558192
"Panama",493.08817356
"Papua New Guinea",39.89054017
"Paraguay",162.0668094
"Peru",256.32945861
"Philippines",64.67885035
"Poland",972.5138999
"Portugal",2383.88095707
"Qatar",1635.51268344
"Romania",516.84724414
"Russia",560.70749417
"Rwanda",44.07976003
"St. Kitts and Nevis",552.8521751
"St. Lucia",467.47611721
"St. Vincent and the Grenadines",296.4123116
"Samoa",168.19193756
"San Marino",4221.66450932
"Sao Tome and Principe",82.83053087
"Saudi Arabia",581.01746674
"Senegal",65.58605669
"Serbia",673.41551388
"Seychelles",358.7704108
"Sierra Leone",47.99418931
"Singapore",1434.29888612
"Slovak Republic",1398.66914518
"Slovenia",2257.5292104
"Solomon Islands",72.22520387
"South Africa",481.77771676
"Spain",3131.31302629
"Sri Lanka",67.73599135
"Sudan",96.75328571
"Suriname",403.79343468
"Swaziland",162.10472067
"Sweden",4865.99115069
"Switzerland",6998.97074141
"Syria",89.88517194
"Tajikistan",43.07761038
"Tanzania",26.75674493
"Thailand",158.41721834
"Timor-Leste",63.64118292
"Togo",37.45616559
"Tonga",206.86163349
"Trinidad and Tobago",909.22308459
"Tunisia",246.21716072
"Turkey",623.77323607
"Turkmenistan",83.6494936
"Tuvalu",623.80415567
"Uganda",45.31764489
"Ukraine",259.64421464
"United Arab Emirates",1526.89647496
"United Kingdom",3801.44539817
"United States",7719.62742794
"Uruguay",720.56841515
"Uzbekistan",57.40209764
"Vanuatu",110.77253678
"Venezuela",598.30683221
"Vietnam",70.09052721
"Yemen",68.22635908
"Zambia",72.58389754
