"Country","Water_per_Person"
"Afghanistan",2491.6
"Albania",13145.63
"Algeria",349.8231
"Angola",8938.79
"Antigua and Barbuda",618.3335
"Argentina",20800.16
"Armenia",2581.4499
"Australia",23964.43
"Austria",9330.59
"Azerbaijan",4125.016
"Bahamas",61.109
"Bahrain",156.9873
"Bangladesh",7760.9844
"Barbados",273.102
"Belarus",5953.52
"Belgium",1754.5
"Belize",65881.0413
"Benin",3013.0182
"Bhutan",146431.84
"Bolivia",66553.4797
"Bosnia and Herzegovina",9550.71
"Botswana",6587.15
"Brazil",43486.53
"Brunei",22254.1
"Bulgaria",2768.91
"Burkina Faso",870.56
"Burundi",1533.8177
"Cambodia",33536.877
"Cameroon",15708.65
"Canada",89081.63
"Cape Verde",578.52
"Central African Rep.",33858.51
"Chad",4107.68
"Chile",55996.14
"China",2129.9392
"Colombia",46797.02
"Comoros",1466.2
"Congo, Rep.",225517.09
"Costa Rica",25552.59
"Cote d'Ivoire",4289.836
"Croatia",23156.17
"Cuba",3383.421
"Cyprus",922.416
"Czech Rep.",1290.612
"Korea, Dem. Rep.",3253.6051
"Congo, Dem. Rep.",21156.29
"Denmark",1104.96
"Djibouti",366.52
"Dominican Rep.",2183.6422
"Ecuador",32146.65
"Egypt",772.58
"El Salvador",3730.968
"Equatorial Guinea",52457.53
"Eritrea",1342.67
"Estonia",9558.4086
"Ethiopia",1505.78
"Fiji",34260.137
"Finland",20907.6
"France",3321.38
"French Guiana",679599.34
"Gabon",125112.52
"Gambia",4810.49
"Georgia",14286.097
"Germany",1863.48
"Ghana",2312.19
"Greece",6675.65
"Greenland",10433428.49
"Guatemala",8540.46
"Guinea",24615.15
"Guinea-Bissau",18838.92
"Guyana",326087.69
"Haiti",1484.7637
"Honduras",13765.7208
"Hungary",10339.58
"Iceland",569649.73
"India",1646.761
"Indonesia",12400.35
"Iran",1956.9468
"Iraq",2652.438
"Ireland",12318.71
"Israel",261.38
"Italy",3254.57
"Jamaica",3484.766
"Japan",3360.6
"Jordan",163.5548
"Kazakhstan",7157.341
"Kenya",839.86
"Kuwait",7.197
"Kyrgyzstan",3913.569
"Laos",57913.998
"Latvia",15486.0326
"Lebanon",1110.3984
"Lesotho",1514.872
"Liberia",64823.93
"Libya",99.36
"Lithuania",7306.02
"Luxembourg",6719.3
"Madagascar",17589.63
"Malawi",1273.33
"Malaysia",22210.53
"Maldives",99.902
"Mali",8355.35
"Malta",124.76899
"Mauritania",3745.51
"Mauritius",2198.1165
"Mexico",4340.3532
"Mongolia",13360.82
"Morocco",939.94
"Mozambique",10352.646
"Myanmar",21612.6118
"Namibia",8656.0097
"Nepal",7604.54
"Netherlands",5555.89
"New Zealand",78993.42
"Nicaragua",35552.613
"Niger",2449.638
"Nigeria",1977.61
"Norway",81822.22
"West Bank and Gaza",215.2076
"Oman",549.81
"Pakistan",1399.687
"Panama",45012.407
"Papua New Guinea",129158.17
"Paraguay",55853.83
"Peru",69340.29
"Philippines",5552.74
"Poland",1615.09
"Portugal",6494.2
"Puerto Rico",1789.03
"Qatar",70.6186
"Korea, Rep.",1450.55
"Moldova",3039.625
"Reunion",6279.89
"Romania",9842.682
"Russia",31470.529
"Rwanda",1003.77
"Saint Kitts and Nevis",482.1794
"Sao Tome and Principe",14053.092
"Saudi Arabia",99.27
"Senegal",3213.92
"Serbia and Montenegro",19912.14
"Sierra Leone",27861.48
"Singapore",136.92
"Slovak Republic",9298.23
"Slovenia",15928.381
"Solomon Islands",92351.17
"Somalia",1740.59
"South Africa",1035.57
"Spain",2540.62
"Sri Lanka",2603.15
"Sudan",1710.53
"Suriname",267971.08
"Swaziland",3978.426
"Sweden",19166.84
"Switzerland",7176.58
"Syria",865.4875
"Tajikistan",2406.685
"Thailand",6461.5144
"Macedonia, FYR",3142.83
"Togo",2293.13
"Trinidad and Tobago",2890.625
"Tunisia",449.8189
"Turkey",2889.0272
"Turkmenistan",5045.458
"Uganda",2207.46
"Ukraine",2997.373
"United Arab Emirates",35.306
"United Kingdom",2429.26
"Tanzania",2439.765
"United States",10074.58
"Uruguay",41726.76
"Uzbekistan",1868.385
"Venezuela",45351.788
"Vietnam",10338.159
"Yemen, Rep.",96.63
"Zambia",8994.4
"Zimbabwe",1511.92
