"Country","Years_in_School"
"Afghanistan",2.6
"Albania",10.1
"Algeria",4.6
"Angola",5
"Antigua and Barbuda",11.7
"Argentina",9.7
"Armenia",11.2
"Australia",11.8
"Austria",11.8
"Azerbaijan",12
"Bahamas",10.4
"Bahrain",8.9
"Bangladesh",4.6
"Belarus",11.7
"Belgium",12
"Belize",8.4
"Benin",3.6
"Bolivia",8.3
"Bosnia and Herzegovina",9.2
"Botswana",5.1
"Brazil",6.7
"Bulgaria",11.8
"Burkina Faso",1.7
"Burundi",3.4
"Cambodia",5.3
"Cameroon",6.5
"Canada",14.1
"Cape Verde",4.9
"Central African Rep.",4.5
"Chad",2.6
"Chile",10.1
"China",7.6
"Colombia",6.5
"Comoros",4
"Congo, Dem. Rep.",7.5
"Congo, Rep.",8
"Costa Rica",8.3
"Cote d'Ivoire",4
"Croatia",10.9
"Cuba",10.4
"Cyprus",12.2
"Czech Rep.",13.6
"Denmark",12.8
"Djibouti",5.2
"Dominican Rep.",7.4
"Ecuador",8.4
"Egypt",7.8
"El Salvador",7.3
"Equatorial Guinea",7.6
"Eritrea",3.8
"Estonia",11
"Ethiopia",2.2
"Fiji",9.4
"Finland",11.8
"France",10.4
"Gabon",7.5
"Gambia",3.8
"Georgia",12.4
"Germany",12.3
"Ghana",7.7
"Greece",10.6
"Guatemala",4.9
"Guinea",2.9
"Guinea-Bissau",3
"Guyana",9.2
"Haiti",4.5
"Honduras",5.8
"Hungary",11.2
"India",6.1
"Indonesia",7.2
"Iran",7.2
"Iraq",6.1
"Ireland",11.1
"Israel",12.5
"Italy",10.6
"Jamaica",9.8
"Japan",12.1
"Jordan",10.4
"Kazakhstan",11.8
"Kenya",7.5
"Kiribati",8.8
"Korea, Rep.",13
"Kuwait",7.4
"Kyrgyzstan",11.5
"Laos",4.4
"Latvia",11.9
"Lebanon",8.7
"Lesotho",5.8
"Liberia",5.8
"Lithuania",12.2
"Luxembourg",11.5
"Macedonia, FYR",10.6
"Madagascar",5.2
"Malawi",5.7
"Malaysia",8.2
"Maldives",4.1
"Mali",1.9
"Marshall Islands",9.9
"Mauritania",3
"Mauritius",8.9
"Mexico",8.2
"Moldova",11.2
"Mongolia",9
"Montenegro",11.6
"Morocco",4.6
"Mozambique",3.5
"Myanmar",5
"Namibia",6.8
"Nepal",4.1
"Netherlands",11.7
"New Zealand",12.4
"Nicaragua",5.6
"Niger",1.4
"Nigeria",6.6
"Norway",13.5
"Oman",6.6
"Pakistan",5.3
"Panama",9.2
"Papua New Guinea",4.8
"Paraguay",6.8
"Peru",9.6
"Philippines",8.8
"Poland",12.3
"Portugal",7.5
"Qatar",7.7
"Romania",12.1
"Russia",12.6
"Rwanda",4
"Saint Lucia",8.8
"Samoa",9.8
"Sao Tome and Principe",5.7
"Saudi Arabia",8.3
"Senegal",3.2
"Serbia",10.7
"Seychelles",9.8
"Sierra Leone",3.1
"Singapore",8
"Slovak Republic",12.7
"Slovenia",11.9
"Solomon Islands",6.1
"Somalia",2.7
"South Africa",8.4
"Spain",8.9
"Sri Lanka",9.1
"Sudan",5.5
"Suriname",7.6
"Swaziland",7.2
"Sweden",12.3
"Switzerland",13.4
"Syria",7.3
"Taiwan",11.6
"Tajikistan",11.5
"Tanzania",5.6
"Thailand",7
"Timor-Leste",3
"Togo",5.1
"Tonga",11.2
"Trinidad and Tobago",9.5
"Tunisia",8
"Turkey",8
"Turkmenistan",11.4
"Uganda",6
"Ukraine",12
"United Arab Emirates",9.3
"United Kingdom",13
"United States",13.7
"Uruguay",9.4
"Uzbekistan",11.8
"Vanuatu",6.8
"Venezuela",8.5
"Vietnam",8
"West Bank and Gaza",9.8
"Yemen, Rep.",3.5
"Zambia",7.4
"Zimbabwe",8.2
