"Country","Total","Agriculture_Land"
"Afghanistan",195.188069970211,58.123668031216
"Albania",10.5263157894737,43.1021897810219
"Algeria",18.0905858970411,17.344042590711
"Angola",166.795058383764,46.274163792412
"Argentina",6.30683697689669,51.5220942086974
"Armenia",9.87135396764743,61.3412921348315
"Australia",2.2673022096843,54.3181078583237
"Austria",1.93778012127603,38.4596725288053
"Azerbaijan",18.4659948102106,57.5647542967804
"Bahamas",7.79312787814382,1.2987012987013
"Bahrain",6.36805953062393,9.21052631578947
"Bangladesh",20.1347643897536,69.0020742106476
"Barbados",4.19727177334732,44.1860465116279
"Belarus",6.41711229946524,43.9477575160177
"Belgium",2.48007532703366,45.3434610303831
"Belize",11.0289172831204,6.66374397194213
"Benin",82.2726288499915,30.6906526848671
"Bhutan",45.8429404584294,13.0763219588434
"Bolivia",29.1606097737322,33.9878150096926
"Bosnia and Herzegovina",6.60613468366218,41.7647058823529
"Botswana",14.952241777326,45.6160782030244
"Brazil",10.7937164357063,31.290561291436
"Brunei",3.21543408360129,2.08728652751423
"Bulgaria",6.36942675159236,46.9662093729859
"Burkina Faso",126.769591058675,45.1754385964912
"Burundi",119.358883812105,85.2803738317757
"Cambodia",58.3697758095765,31.4695218672105
"Cameroon",95.8742671666522,19.4897505870407
"Canada",2.52616077370754,7.43387316888638
"Cape Verde",12.3795280824194,23.0769230769231
"Central African Rep.",121.34872331166,8.36302931073229
"Chad",153.562493354119,39.09625158831
"Chile",4.23136785036164,21.1652522426802
"China",9.02064577429856,56.0219909343145
"Colombia",7.6834384176276,38.408292023434
"Comoros",64.2017903767251,80.6451612903226
"Congo, Dem. Rep.",135.422798862811,9.90273703711872
"Congo, Rep.",89.840376187582,30.8931185944363
"Costa Rica",3.72501193064319,35.2526439482961
"Cote d'Ivoire",69.1246346295039,63.8364779874214
"Croatia",2.08679155797961,23.0164403145104
"Cuba",3.11468155359635,61.3491168733559
"Cyprus",2.11672210462655,12.4458874458874
"Czech Rep.",1.9249807501925,54.9385113268608
"Denmark",1.7808724670699,62.880037709168
"Djibouti",57.0672400959391,73.3822260569456
"Dominican Rep.",14.2297638483705,50.6415562913907
"Ecuador",13.6448285316498,29.9766468030279
"Egypt",8.74950684462442,3.55818976342358
"El Salvador",10.6083515635053,74.9517374517375
"Equatorial Guinea",99.0264921800192,11.0516934046346
"Eritrea",39.5783436971282,74.970297029703
"Estonia",2.8869084975524,21.3965557914602
"Ethiopia",64.6082073266539,34.513
"Fiji",9.27759235164338,23.4263820470717
"Finland",1.50821894594137,7.55511681474169
"France",1.87565348565591,53.5350399883139
"Gabon",48.8051586799848,19.9479954981178
"Gambia",68.2859761686526,65.5
"Georgia",11.8833135278108,36.3073823571737
"Germany",1.88766515192926,48.5385652410865
"Ghana",42.3679636226645,68.1198910081744
"Greece",1.71524978910863,63.8401861908456
"Grenada",1.98807157057654,35.2941176470588
"Guatemala",23.5208610398045,39.3617021276596
"Guinea",95.0809723309475,57.9521406478919
"Guinea-Bissau",142.406475539757,57.9658605974396
"Guyana",37.5128468653648,8.50901701803404
"Haiti",45.5077896216469,64.2235123367199
"Honduras",15.0340125928462,28.4565197962284
"Hungary",3.08322684030102,64.6133244057583
"Iceland",1.73047804455981,22.7531172069825
"India",30.6938969879138,60.4428240374816
"Indonesia",22.0145042867794,28.7043834905634
"Iran",13.9976046109078,29.6546007184305
"Iraq",19.566552973328,21.6064201934289
"Ireland",2.25756501353092,60.9667586006677
"Israel",2.40900122951992,23.7985212569316
"Italy",1.98571166880381,49.1160671788944
"Jamaica",22.8435114503817,41.4589104339797
"Japan",2.28167406590643,12.6968449931413
"Jordan",6.86367604978555,11.0154125113327
"Kazakhstan",15.1019174012213,76.9715153535578
"Kenya",92.2099286862794,47.7914045753242
"Korea, Dem. Rep.",27.1196283391405,24.4996262768873
"Korea, Rep.",3.14835110092657,18.6024940739977
"Kuwait",5.07466733812392,8.47362514029181
"Kyrgyzstan",21.1040985855764,55.9280500521376
"Laos",39.8581877716399,9.86568457538995
"Latvia",4.06416187470275,29.34555394758
"Lebanon",5.47492303259172,67.1554252199414
"Lesotho",39.7324211838846,77.7997364953887
"Liberia",95.6028466325162,27.0971760797342
"Libya",7.29752933320614,8.83753708355593
"Lithuania",3.81970970206264,42.6360299984043
"Luxembourg",1.6507703595011,50.5791505791506
"Macedonia, FYR",4.54075439464101,42.1323820848197
"Madagascar",68.5676203447443,70.2359253017849
"Malawi",65.4054956986553,58.0398812049215
"Malaysia",3.21629833300946,23.9537361132248
"Maldives",12.7510917030568,26.6666666666667
"Mali",132.644970959712,33.1923716798204
"Malta",4.89130434782609,28.125
"Mauritania",69.5985624571608,38.4796740079558
"Mauritius",6.79858500994915,48.2758620689655
"Mexico",10.5601765073415,52.9344890557885
"Micronesia, Fed. Sts.",24.0315638450502,31.4285714285714
"Moldova",9.90407513743295,75.4332623897841
"Mongolia",27.2371973085136,74.5545714359278
"Montenegro",3.4287221416326,38.1412639405204
"Morocco",13.1564495994283,67.1767869146314
"Mozambique",83.1204599206616,62.3744245784481
"Myanmar",73.0046621463918,18.7859591137226
"Namibia",23.6802233533648,47.1377036038334
"Nepal",19.4661167393025,29.3686780606906
"Netherlands",1.7776673114538,57.1386255924171
"New Zealand",1.99104031856645,43.1962325775702
"Nicaragua",14.8889047653068,42.7621738407844
"Niger",118.97829238121,34.5638272677035
"Nigeria",129.142374815297,85.0928335364582
"Norway",1.89429816253078,3.35221134644973
"Oman",4.36702569701315,5.7092084006462
"Pakistan",33.8651558358165,34.0909090909091
"Panama",13.1018063099668,29.9973096583266
"Papua New Guinea",41.8793256776089,2.62774367354149
"Paraguay",12.8769048579571,52.4465139692927
"Peru",11.6938801315705,16.7421875
"Philippines",17.8781564191089,39.5747392427139
"Poland",2.91214666043403,53.099730458221
"Portugal",1.81587071000545,40.8002623811086
"Qatar",4.33940850524067,5.52200172562554
"Romania",6.54947215655064,58.9212701174424
"Russia",4.89853813903436,13.1584362579663
"Rwanda",67.0881647217046,81.0701256586948
"Saint Lucia",3.95387149917628,18.0327868852459
"Saint Vincent and the Grenadines",3.65153886280647,25.6410256410256
"Samoa",14.4824311490978,23.321554770318
"Sao Tome and Principe",63.3501748931209,57.2916666666667
"Saudi Arabia",9.35791528606234,80.7232670757179
"Senegal",69.9624008982953,48.3249363735522
"Serbia",2.82927425622397,57.8092842442259
"Sierra Leone",146.576870858034,47.6682490924323
"Singapore",1.69423154497781,0
"Slovak Republic",4.20374515477425,40.2702702702703
"Slovenia",1.0270631130283,24.428997020854
"Solomon Islands",21.0154241645244,3.03679885673455
"Somalia",131.417528576451,70.1804444161061
"South Africa",46.9484041281096,81.8282872364076
"Spain",2.23295615304604,56.4194065757819
"Sri Lanka",8.40809782177459,42.1782809759209
"Sudan",66.224986708705,56.8371212121212
"Suriname",14.6306527521997,0.455128205128205
"Swaziland",63.7842465753425,71.1627906976744
"Sweden",1.53784496658682,7.53765170346542
"Switzerland",1.65366700658711,38.125
"Syria",8.35624863397699,75.6806795905032
"Tajikistan",40.0031114683538,33.7739354101172
"Tanzania",65.3261622481544,39.4558591104087
"Thailand",4.16042619799083,38.6247528822251
"Togo",60.9397840668199,62.6034197462769
"Tonga",10.8353722474659,41.6666666666667
"Trinidad and Tobago",10.7668199969671,10.5263157894737
"Tunisia",9.33419727126021,63.6006694129763
"Turkey",7.82662298019941,50.8322180788171
"Turkmenistan",27.2348577263321,69.399697827336
"Uganda",98.9217628151113,68.8754316600771
"Ukraine",7.55334756080281,71.2766691983705
"United Arab Emirates",2.65319822267685,6.80622009569378
"United Kingdom",2.59087232315782,73.0955234985326
"United States",3.6322684014018,44.2049233554379
"Uruguay",7.8640082611804,85.0759913152783
"Uzbekistan",18.6303073241616,62.5763986835919
"Vanuatu",18.9640532125672,15.3404429860541
"Venezuela",8.15838937387745,24.2049770421178
"Vietnam",5.25792554954159,33.0248008514206
"Yemen, Rep.",34.9402903375686,44.5423035399739
"Zambia",105.545396226137,31.0563768681311
"Zimbabwe",65.7274633567737,42.5229417086726
