"Country","Total","Health_Spending_per_Person"
"Afghanistan",195.188069970211,31.80972721
"Albania",10.5263157894737,275.14252038
"Algeria",18.0905858970411,185.84823354
"Angola",166.795058383764,148.87881676
"Argentina",6.30683697689669,698.45126835
"Armenia",9.87135396764743,142.71827452
"Australia",2.2673022096843,4229.03306558
"Austria",1.93778012127603,5153.35866142
"Azerbaijan",18.4659948102106,233.86044575
"Bahamas",7.79312787814382,1833.42556935
"Bahrain",6.36805953062393,793.46605183
"Barbados",4.19727177334732,958.17848445
"Belarus",6.41711229946524,373.3470911
"Belgium",2.48007532703366,4754.27522232
"Belize",11.0289172831204,218.95707454
"Benin",82.2726288499915,33
"Bhutan",45.8429404584294,94.06479136
"Bolivia",29.1606097737322,85.35091165
"Bosnia and Herzegovina",6.60613468366218,505.60255386
"Botswana",14.952241777326,535.99084407
"Brazil",10.7937164357063,714.98985619
"Brunei",3.21543408360129,877.06180369
"Bulgaria",6.36942675159236,474.17284604
"Burkina Faso",126.769591058675,36.5127274
"Burundi",119.358883812105,18.31932186
"Cambodia",58.3697758095765,38.85543014
"Cameroon",95.8742671666522,63.83446755
"Canada",2.52616077370754,4622.62643606
"Cape Verde",12.3795280824194,155.65526461
"Chad",153.562493354119,28.03009406
"Chile",4.23136785036164,764.79717839
"China",9.02064577429856,156.59905287
"Colombia",7.6834384176276,376.99900347
"Comoros",64.2017903767251,34.45666035
"Congo, Dem. Rep.",135.422798862811,13.70413496
"Congo, Rep.",89.840376187582,80.40646768
"Costa Rica",3.72501193064319,617.698283
"Cote d'Ivoire",69.1246346295039,71.8341187
"Croatia",2.08679155797961,1224.05169259
"Cuba",3.11468155359635,584.63866145
"Cyprus",2.11672210462655,1917.63775016
"Denmark",1.7808724670699,6345.45678188
"Djibouti",57.0672400959391,82.4769433
"Ecuador",13.6448285316498,270.06460048
"Egypt",8.74950684462442,101.23318902
"El Salvador",10.6083515635053,215.93487107
"Equatorial Guinea",99.0264921800192,750.74928627
"Eritrea",39.5783436971282,10.65961855
"Estonia",2.8869084975524,1057.76180424
"Ethiopia",64.6082073266539,14.04323536
"Fiji",9.27759235164338,153.0510915
"Finland",1.50821894594137,4253.8644363
"France",1.87565348565591,4940.96210783
"Gabon",48.8051586799848,263.33276432
"Gambia",68.2859761686526,26.37122177
"Georgia",11.8833135278108,261.87692087
"Germany",1.88766515192926,4718.15917267
"Ghana",42.3679636226645,68.51149554
"Greece",1.71524978910863,3078.40821387
"Grenada",1.98807157057654,474.09007171
"Guatemala",23.5208610398045,198.5067007
"Guinea",95.0809723309475,25.97621308
"Guinea-Bissau",142.406475539757,33.13959396
"Guyana",37.5128468653648,153.50783449
"Haiti",45.5077896216469,35.33440734
"Honduras",15.0340125928462,115.68858452
"Hungary",3.08322684030102,1118.72597813
"Iceland",1.73047804455981,4929.15294483
"India",30.6938969879138,43.12475092
"Indonesia",22.0145042867794,53.36093578
"Iran",13.9976046109078,276.56244084
"Iraq",19.566552973328,160.73176522
"Ireland",2.25756501353092,5241.04343506
"Israel",2.40900122951992,2073.08312967
"Italy",1.98571166880381,3471.67858616
"Jamaica",22.8435114503817,272.32557757
"Japan",2.28167406590643,3253.10202246
"Jordan",6.86367604978555,329.55214282
"Kazakhstan",15.1019174012213,329.80684978
"Kenya",92.2099286862794,32.99259206
"Kuwait",5.07466733812392,1116.62940353
"Latvia",4.06416187470275,974.29906376
"Lebanon",5.47492303259172,555.76301814
"Lesotho",39.7324211838846,66.26062832
"Liberia",95.6028466325162,27.47533374
"Libya",7.29752933320614,468.62516883
"Lithuania",3.81970970206264,934.40671484
"Luxembourg",1.6507703595011,8054.81635894
"Macedonia, FYR",4.54075439464101,326.64042808
"Madagascar",68.5676203447443,21.642137
"Malawi",65.4054956986553,21.2317324
"Malaysia",3.21629833300946,306.35306225
"Maldives",12.7510917030568,454.99057309
"Mali",132.644970959712,33.62161099
"Malta",4.89130434782609,1596.18750451
"Mauritania",69.5985624571608,47.27623307
"Mauritius",6.79858500994915,395.07092927
"Mexico",10.5601765073415,597.703288
"Micronesia, Fed. Sts.",24.0315638450502,306.0551423
"Moldova",9.90407513743295,193.56839177
"Mongolia",27.2371973085136,120.31288077
"Montenegro",3.4287221416326,573.91692048
"Morocco",13.1564495994283,147.36903771
"Mozambique",83.1204599206616,18.09859681
"Myanmar",73.0046621463918,10.65229369
"Namibia",23.6802233533648,275.23664539
"Netherlands",1.7776673114538,5236.86553894
"New Zealand",1.99104031856645,2820.19798906
"Nicaragua",14.8889047653068,105.21340786
"Niger",118.97829238121,19.45087717
"Nigeria",129.142374815297,79.29829413
"Norway",1.89429816253078,8070.92644725
"Oman",4.36702569701315,479.01366884
"Pakistan",33.8651558358165,22.06499551
"Panama",13.1018063099668,493.08817356
"Papua New Guinea",41.8793256776089,39.89054017
"Paraguay",12.8769048579571,162.0668094
"Peru",11.6938801315705,256.32945861
"Philippines",17.8781564191089,64.67885035
"Poland",2.91214666043403,972.5138999
"Portugal",1.81587071000545,2383.88095707
"Qatar",4.33940850524067,1635.51268344
"Romania",6.54947215655064,516.84724414
"Russia",4.89853813903436,560.70749417
"Rwanda",67.0881647217046,44.07976003
"Samoa",14.4824311490978,168.19193756
"Sao Tome and Principe",63.3501748931209,82.83053087
"Saudi Arabia",9.35791528606234,581.01746674
"Senegal",69.9624008982953,65.58605669
"Serbia",2.82927425622397,673.41551388
"Sierra Leone",146.576870858034,47.99418931
"Singapore",1.69423154497781,1434.29888612
"Slovak Republic",4.20374515477425,1398.66914518
"Slovenia",1.0270631130283,2257.5292104
"Solomon Islands",21.0154241645244,72.22520387
"South Africa",46.9484041281096,481.77771676
"Spain",2.23295615304604,3131.31302629
"Sri Lanka",8.40809782177459,67.73599135
"Sudan",66.224986708705,96.75328571
"Suriname",14.6306527521997,403.79343468
"Swaziland",63.7842465753425,162.10472067
"Sweden",1.53784496658682,4865.99115069
"Switzerland",1.65366700658711,6998.97074141
