"Country","Total","Water_per_Person"
"Afghanistan",195.188069970211,2491.6
"Albania",10.5263157894737,13145.63
"Algeria",18.0905858970411,349.8231
"Angola",166.795058383764,8938.79
"Argentina",6.30683697689669,20800.16
"Armenia",9.87135396764743,2581.4499
"Australia",2.2673022096843,23964.43
"Austria",1.93778012127603,9330.59
"Azerbaijan",18.4659948102106,4125.016
"Bahamas",7.79312787814382,61.109
"Bahrain",6.36805953062393,156.9873
"Bangladesh",20.1347643897536,7760.9844
"Barbados",4.19727177334732,273.102
"Belarus",6.41711229946524,5953.52
"Belgium",2.48007532703366,1754.5
"Belize",11.0289172831204,65881.0413
"Benin",82.2726288499915,3013.0182
"Bhutan",45.8429404584294,146431.84
"Bolivia",29.1606097737322,66553.4797
"Bosnia and Herzegovina",6.60613468366218,9550.71
"Botswana",14.952241777326,6587.15
"Brazil",10.7937164357063,43486.53
"Brunei",3.21543408360129,22254.1
"Bulgaria",6.36942675159236,2768.91
"Burkina Faso",126.769591058675,870.56
"Burundi",119.358883812105,1533.8177
"Cambodia",58.3697758095765,33536.877
"Cameroon",95.8742671666522,15708.65
"Canada",2.52616077370754,89081.63
"Cape Verde",12.3795280824194,578.52
"Central African Rep.",121.34872331166,33858.51
"Chad",153.562493354119,4107.68
"Chile",4.23136785036164,55996.14
"China",9.02064577429856,2129.9392
"Colombia",7.6834384176276,46797.02
"Comoros",64.2017903767251,1466.2
"Congo, Dem. Rep.",135.422798862811,21156.29
"Congo, Rep.",89.840376187582,225517.09
"Costa Rica",3.72501193064319,25552.59
"Cote d'Ivoire",69.1246346295039,4289.836
"Croatia",2.08679155797961,23156.17
"Cuba",3.11468155359635,3383.421
"Cyprus",2.11672210462655,922.416
"Czech Rep.",1.9249807501925,1290.612
"Denmark",1.7808724670699,1104.96
"Djibouti",57.0672400959391,366.52
"Dominican Rep.",14.2297638483705,2183.6422
"Ecuador",13.6448285316498,32146.65
"Egypt",8.74950684462442,772.58
"El Salvador",10.6083515635053,3730.968
"Equatorial Guinea",99.0264921800192,52457.53
"Eritrea",39.5783436971282,1342.67
"Estonia",2.8869084975524,9558.4086
"Ethiopia",64.6082073266539,1505.78
"Fiji",9.27759235164338,34260.137
"Finland",1.50821894594137,20907.6
"France",1.87565348565591,3321.38
"Gabon",48.8051586799848,125112.52
"Gambia",68.2859761686526,4810.49
"Georgia",11.8833135278108,14286.097
"Germany",1.88766515192926,1863.48
"Ghana",42.3679636226645,2312.19
"Greece",1.71524978910863,6675.65
"Guatemala",23.5208610398045,8540.46
"Guinea",95.0809723309475,24615.15
"Guinea-Bissau",142.406475539757,18838.92
"Guyana",37.5128468653648,326087.69
"Haiti",45.5077896216469,1484.7637
"Honduras",15.0340125928462,13765.7208
"Hungary",3.08322684030102,10339.58
"Iceland",1.73047804455981,569649.73
"India",30.6938969879138,1646.761
"Indonesia",22.0145042867794,12400.35
"Iran",13.9976046109078,1956.9468
"Iraq",19.566552973328,2652.438
"Ireland",2.25756501353092,12318.71
"Israel",2.40900122951992,261.38
"Italy",1.98571166880381,3254.57
"Jamaica",22.8435114503817,3484.766
"Japan",2.28167406590643,3360.6
"Jordan",6.86367604978555,163.5548
"Kazakhstan",15.1019174012213,7157.341
"Kenya",92.2099286862794,839.86
"Korea, Dem. Rep.",27.1196283391405,3253.6051
"Korea, Rep.",3.14835110092657,1450.55
"Kuwait",5.07466733812392,7.197
"Kyrgyzstan",21.1040985855764,3913.569
"Laos",39.8581877716399,57913.998
"Latvia",4.06416187470275,15486.0326
"Lebanon",5.47492303259172,1110.3984
"Lesotho",39.7324211838846,1514.872
"Liberia",95.6028466325162,64823.93
"Libya",7.29752933320614,99.36
"Lithuania",3.81970970206264,7306.02
"Luxembourg",1.6507703595011,6719.3
"Macedonia, FYR",4.54075439464101,3142.83
"Madagascar",68.5676203447443,17589.63
"Malawi",65.4054956986553,1273.33
"Malaysia",3.21629833300946,22210.53
"Maldives",12.7510917030568,99.902
"Mali",132.644970959712,8355.35
"Malta",4.89130434782609,124.76899
"Mauritania",69.5985624571608,3745.51
"Mauritius",6.79858500994915,2198.1165
"Mexico",10.5601765073415,4340.3532
"Moldova",9.90407513743295,3039.625
"Mongolia",27.2371973085136,13360.82
"Morocco",13.1564495994283,939.94
"Mozambique",83.1204599206616,10352.646
"Myanmar",73.0046621463918,21612.6118
"Namibia",23.6802233533648,8656.0097
"Nepal",19.4661167393025,7604.54
"Netherlands",1.7776673114538,5555.89
"New Zealand",1.99104031856645,78993.42
"Nicaragua",14.8889047653068,35552.613
"Niger",118.97829238121,2449.638
"Nigeria",129.142374815297,1977.61
"Norway",1.89429816253078,81822.22
"Oman",4.36702569701315,549.81
"Pakistan",33.8651558358165,1399.687
"Panama",13.1018063099668,45012.407
"Papua New Guinea",41.8793256776089,129158.17
"Paraguay",12.8769048579571,55853.83
"Peru",11.6938801315705,69340.29
"Philippines",17.8781564191089,5552.74
"Poland",2.91214666043403,1615.09
"Portugal",1.81587071000545,6494.2
"Qatar",4.33940850524067,70.6186
"Romania",6.54947215655064,9842.682
"Russia",4.89853813903436,31470.529
"Rwanda",67.0881647217046,1003.77
"Sao Tome and Principe",63.3501748931209,14053.092
"Saudi Arabia",9.35791528606234,99.27
"Senegal",69.9624008982953,3213.92
"Sierra Leone",146.576870858034,27861.48
"Singapore",1.69423154497781,136.92
"Slovak Republic",4.20374515477425,9298.23
"Slovenia",1.0270631130283,15928.381
"Solomon Islands",21.0154241645244,92351.17
"Somalia",131.417528576451,1740.59
"South Africa",46.9484041281096,1035.57
"Spain",2.23295615304604,2540.62
"Sri Lanka",8.40809782177459,2603.15
"Sudan",66.224986708705,1710.53
"Suriname",14.6306527521997,267971.08
"Swaziland",63.7842465753425,3978.426
"Sweden",1.53784496658682,19166.84
"Switzerland",1.65366700658711,7176.58
"Syria",8.35624863397699,865.4875
"Tajikistan",40.0031114683538,2406.685
"Tanzania",65.3261622481544,2439.765
"Thailand",4.16042619799083,6461.5144
"Togo",60.9397840668199,2293.13
"Trinidad and Tobago",10.7668199969671,2890.625
"Tunisia",9.33419727126021,449.8189
"Turkey",7.82662298019941,2889.0272
"Turkmenistan",27.2348577263321,5045.458
"Uganda",98.9217628151113,2207.46
"Ukraine",7.55334756080281,2997.373
"United Arab Emirates",2.65319822267685,35.306
"United Kingdom",2.59087232315782,2429.26
"United States",3.6322684014018,10074.58
"Uruguay",7.8640082611804,41726.76
"Uzbekistan",18.6303073241616,1868.385
"Venezuela",8.15838937387745,45351.788
"Vietnam",5.25792554954159,10338.159
"Yemen, Rep.",34.9402903375686,96.63
"Zambia",105.545396226137,8994.4
"Zimbabwe",65.7274633567737,1511.92
