"Country","Total","Years_in_School"
"Afghanistan",195.188069970211,2.6
"Albania",10.5263157894737,10.1
"Algeria",18.0905858970411,4.6
"Angola",166.795058383764,5
"Argentina",6.30683697689669,9.7
"Armenia",9.87135396764743,11.2
"Australia",2.2673022096843,11.8
"Austria",1.93778012127603,11.8
"Azerbaijan",18.4659948102106,12
"Bahamas",7.79312787814382,10.4
"Bahrain",6.36805953062393,8.9
"Bangladesh",20.1347643897536,4.6
"Belarus",6.41711229946524,11.7
"Belgium",2.48007532703366,12
"Belize",11.0289172831204,8.4
"Benin",82.2726288499915,3.6
"Bolivia",29.1606097737322,8.3
"Bosnia and Herzegovina",6.60613468366218,9.2
"Botswana",14.952241777326,5.1
"Brazil",10.7937164357063,6.7
"Bulgaria",6.36942675159236,11.8
"Burkina Faso",126.769591058675,1.7
"Burundi",119.358883812105,3.4
"Cambodia",58.3697758095765,5.3
"Cameroon",95.8742671666522,6.5
"Canada",2.52616077370754,14.1
"Cape Verde",12.3795280824194,4.9
"Central African Rep.",121.34872331166,4.5
"Chad",153.562493354119,2.6
"Chile",4.23136785036164,10.1
"China",9.02064577429856,7.6
"Colombia",7.6834384176276,6.5
"Comoros",64.2017903767251,4
"Congo, Dem. Rep.",135.422798862811,7.5
"Congo, Rep.",89.840376187582,8
"Costa Rica",3.72501193064319,8.3
"Cote d'Ivoire",69.1246346295039,4
"Croatia",2.08679155797961,10.9
"Cuba",3.11468155359635,10.4
"Cyprus",2.11672210462655,12.2
"Czech Rep.",1.9249807501925,13.6
"Denmark",1.7808724670699,12.8
"Djibouti",57.0672400959391,5.2
"Dominican Rep.",14.2297638483705,7.4
"Ecuador",13.6448285316498,8.4
"Egypt",8.74950684462442,7.8
"El Salvador",10.6083515635053,7.3
"Equatorial Guinea",99.0264921800192,7.6
"Eritrea",39.5783436971282,3.8
"Estonia",2.8869084975524,11
"Ethiopia",64.6082073266539,2.2
"Fiji",9.27759235164338,9.4
"Finland",1.50821894594137,11.8
"France",1.87565348565591,10.4
"Gabon",48.8051586799848,7.5
"Gambia",68.2859761686526,3.8
"Georgia",11.8833135278108,12.4
"Germany",1.88766515192926,12.3
"Ghana",42.3679636226645,7.7
"Greece",1.71524978910863,10.6
"Guatemala",23.5208610398045,4.9
"Guinea",95.0809723309475,2.9
"Guinea-Bissau",142.406475539757,3
"Guyana",37.5128468653648,9.2
"Haiti",45.5077896216469,4.5
"Honduras",15.0340125928462,5.8
"Hungary",3.08322684030102,11.2
"India",30.6938969879138,6.1
"Indonesia",22.0145042867794,7.2
"Iran",13.9976046109078,7.2
"Iraq",19.566552973328,6.1
"Ireland",2.25756501353092,11.1
"Israel",2.40900122951992,12.5
"Italy",1.98571166880381,10.6
"Jamaica",22.8435114503817,9.8
"Japan",2.28167406590643,12.1
"Jordan",6.86367604978555,10.4
"Kazakhstan",15.1019174012213,11.8
"Kenya",92.2099286862794,7.5
"Korea, Rep.",3.14835110092657,13
"Kuwait",5.07466733812392,7.4
"Kyrgyzstan",21.1040985855764,11.5
"Laos",39.8581877716399,4.4
"Latvia",4.06416187470275,11.9
"Lebanon",5.47492303259172,8.7
"Lesotho",39.7324211838846,5.8
