"Country","Diarrhoea","Health_Spending_per_Person"
"Afghanistan",69.5508502700227,31.80972721
"Albania",0.26044492674986,275.14252038
"Algeria",5.16194048652129,185.84823354
"Angola",52.4019160524976,148.87881676
"Argentina",0.12042039776453,698.45126835
"Armenia",0.3821169277799,142.71827452
"Australia",0.01870711394129,4229.03306558
"Austria",0.013182177695755,5153.35866142
"Azerbaijan",4.16993542936455,233.86044575
"Bahamas",0.17711654268509,1833.42556935
"Bahrain",0.071551230681168,793.46605183
"Barbados",0,958.17848445
"Belarus",0.051918384299881,373.3470911
"Belgium",0.06725628005515,4754.27522232
"Belize",1.34498991257566,218.95707454
"Benin",14.5309199014496,33
"Bhutan",10.9182151091822,94.06479136
"Bolivia",7.87713196288996,85.35091165
"Bosnia and Herzegovina",0.174611489436,505.60255386
"Botswana",2.0755236461444,535.99084407
"Brazil",1.11889030816829,714.98985619
"Brunei",0.12861736334405,877.06180369
"Bulgaria",0.19259605728357,474.17284604
"Burkina Faso",30.1336870203167,36.5127274
"Burundi",37.1618213003935,18.31932186
"Cambodia",5.87600332133961,38.85543014
"Cameroon",20.0756225799993,63.83446755
"Canada",0.002832018804605,4622.62643606
"Cape Verde",2.2432701894317,155.65526461
"Chad",42.1925690519613,28.03009406
"Chile",0.023883543840235,764.79717839
"China",0.5730755412495,156.59905287
"Colombia",0.80459982862786,376.99900347
"Comoros",20.3748601268184,34.45666035
"Congo, Dem. Rep.",33.993690370799,13.70413496
"Congo, Rep.",17.1939477303989,80.40646768
"Costa Rica",0.13256270215812,617.698283
"Cote d'Ivoire",13.7254630335102,71.8341187
"Croatia",0.023713540431586,1224.05169259
"Cuba",0.085100588896075,584.63866145
"Cyprus",0,1917.63775016
"Denmark",0.016043896099729,6345.45678188
"Djibouti",16.7066413034488,82.4769433
"Ecuador",1.38157449641966,270.06460048
"Egypt",1.06496748276127,101.23318902
"El Salvador",0.65950328143096,215.93487107
"Equatorial Guinea",12.128949888286,750.74928627
"Eritrea",11.9366746500846,10.65961855
"Estonia",0,1057.76180424
"Ethiopia",22.9362870139569,14.04323536
"Fiji",0.96170164620694,153.0510915
"Finland",0,4253.8644363
"France",0.029265515379028,4940.96210783
"Gabon",4.19774939941838,263.33276432
"Gambia",13.6997512112086,26.37122177
"Georgia",1.62916395139341,261.87692087
"Germany",0.010512057329757,4718.15917267
"Ghana",6.43476996490486,68.51149554
"Greece",0,3078.40821387
"Grenada",0,474.09007171
"Guatemala",6.48828485713402,198.5067007
"Guinea",18.3593381458598,25.97621308
"Guinea-Bissau",34.7321607189573,33.13959396
"Guyana",8.66245778887094,153.50783449
"Haiti",13.8953965093124,35.33440734
"Honduras",2.92741499332649,115.68858452
"Hungary",0.020284387107244,1118.72597813
"Iceland",0,4929.15294483
"India",7.55052179178996,43.12475092
"Indonesia",6.08192301002105,53.36093578
"Iran",3.1434077076184,276.56244084
"Iraq",4.8831642056649,160.73176522
"Ireland",0,5241.04343506
"Israel",0,2073.08312967
"Italy",0.001831837332845,3471.67858616
"Jamaica",4.40839694656489,272.32557757
"Japan",0.0435249397905,3253.10202246
"Jordan",0.75838203335606,329.55214282
"Kazakhstan",0.68361236549598,329.80684978
"Kenya",25.1835289337729,32.99259206
"Kuwait",0.038737918611633,1116.62940353
"Latvia",0.086471529248995,974.29906376
"Lebanon",0.31848582738068,555.76301814
