"Country","Diarrhoea","Water_per_Person"
"Afghanistan",69.5508502700227,2491.6
"Albania",0.26044492674986,13145.63
"Algeria",5.16194048652129,349.8231
"Angola",52.4019160524976,8938.79
"Argentina",0.12042039776453,20800.16
"Armenia",0.3821169277799,2581.4499
"Australia",0.01870711394129,23964.43
"Austria",0.013182177695755,9330.59
"Azerbaijan",4.16993542936455,4125.016
"Bahamas",0.17711654268509,61.109
"Bahrain",0.071551230681168,156.9873
"Bangladesh",5.35348607874931,7760.9844
"Barbados",0,273.102
"Belarus",0.051918384299881,5953.52
"Belgium",0.06725628005515,1754.5
"Belize",1.34498991257566,65881.0413
"Benin",14.5309199014496,3013.0182
"Bhutan",10.9182151091822,146431.84
"Bolivia",7.87713196288996,66553.4797
"Bosnia and Herzegovina",0.174611489436,9550.71
"Botswana",2.0755236461444,6587.15
"Brazil",1.11889030816829,43486.53
"Brunei",0.12861736334405,22254.1
"Bulgaria",0.19259605728357,2768.91
"Burkina Faso",30.1336870203167,870.56
"Burundi",37.1618213003935,1533.8177
"Cambodia",5.87600332133961,33536.877
"Cameroon",20.0756225799993,15708.65
"Canada",0.002832018804605,89081.63
"Cape Verde",2.2432701894317,578.52
"Central African Rep.",28.00854806337,33858.51
"Chad",42.1925690519613,4107.68
"Chile",0.023883543840235,55996.14
"China",0.5730755412495,2129.9392
"Colombia",0.80459982862786,46797.02
"Comoros",20.3748601268184,1466.2
"Congo, Dem. Rep.",33.993690370799,21156.29
"Congo, Rep.",17.1939477303989,225517.09
"Costa Rica",0.13256270215812,25552.59
"Cote d'Ivoire",13.7254630335102,4289.836
"Croatia",0.023713540431586,23156.17
"Cuba",0.085100588896075,3383.421
"Cyprus",0,922.416
"Czech Rep.",0.045832875004583,1290.612
"Denmark",0.016043896099729,1104.96
"Djibouti",16.7066413034488,366.52
"Dominican Rep.",2.93070684902176,2183.6422
"Ecuador",1.38157449641966,32146.65
"Egypt",1.06496748276127,772.58
"El Salvador",0.65950328143096,3730.968
"Equatorial Guinea",12.128949888286,52457.53
"Eritrea",11.9366746500846,1342.67
"Estonia",0,9558.4086
"Ethiopia",22.9362870139569,1505.78
"Fiji",0.96170164620694,34260.137
"Finland",0,20907.6
"France",0.029265515379028,3321.38
"Gabon",4.19774939941838,125112.52
"Gambia",13.6997512112086,4810.49
"Georgia",1.62916395139341,14286.097
"Germany",0.010512057329757,1863.48
"Ghana",6.43476996490486,2312.19
"Greece",0,6675.65
"Guatemala",6.48828485713402,8540.46
"Guinea",18.3593381458598,24615.15
"Guinea-Bissau",34.7321607189573,18838.92
"Guyana",8.66245778887094,326087.69
"Haiti",13.8953965093124,1484.7637
"Honduras",2.92741499332649,13765.7208
"Hungary",0.020284387107244,10339.58
"Iceland",0,569649.73
"India",7.55052179178996,1646.761
"Indonesia",6.08192301002105,12400.35
"Iran",3.1434077076184,1956.9468
"Iraq",4.8831642056649,2652.438
"Ireland",0,12318.71
"Israel",0,261.38
"Italy",0.001831837332845,3254.57
"Jamaica",4.40839694656489,3484.766
"Japan",0.0435249397905,3360.6
"Jordan",0.75838203335606,163.5548
"Kazakhstan",0.68361236549598,7157.341
"Kenya",25.1835289337729,839.86
"Korea, Dem. Rep.",6.33901827740082,3253.6051
"Korea, Rep.",0.011070151550375,1450.55
"Kuwait",0.038737918611633,7.197
"Kyrgyzstan",5.33838900391648,3913.569
"Laos",4.19311904453422,57913.998
"Latvia",0.086471529248995,15486.0326
"Lebanon",0.31848582738068,1110.3984
"Lesotho",6.87482096820395,1514.872
"Liberia",23.0549730119985,64823.93
"Libya",0.60642400621414,99.36
"Lithuania",0,7306.02
"Luxembourg",0,6719.3
"Macedonia, FYR",0.40462167873039,3142.83
"Madagascar",22.6385772531627,17589.63
"Malawi",9.90060970516997,1273.33
"Malaysia",0.063563208162242,22210.53
"Maldives",2.2707423580786,99.902
"Mali",34.199317783719,8355.35
"Malta",0,124.76899
"Mauritania",17.0059835868176,3745.51
"Mauritius",0.27636524430688,2198.1165
"Mexico",0.95185098406748,4340.3532
"Moldova",0.37835792659856,3039.625
"Mongolia",1.85341875176276,13360.82
"Morocco",4.2725589410489,939.94
"Mozambique",14.1163880392334,10352.646
"Myanmar",14.2168986625504,21612.6118
"Namibia",2.51953490747519,8656.0097
"Nepal",6.931490038033,7604.54
"Netherlands",0,5555.89
"New Zealand",0.017164140677297,78993.42
"Nicaragua",2.45052511252411,35552.613
"Niger",30.5578815023564,2449.638
"Nigeria",31.88134931609,1977.61
"Norway",0.10332535431986,81822.22
"Oman",0.21183333604915,549.81
"Pakistan",12.5204916458541,1399.687
"Panama",1.29734969989878,45012.407
"Papua New Guinea",3.14155357073812,129158.17
"Paraguay",2.37497234621241,55853.83
"Peru",1.08054671065488,69340.29
"Philippines",2.17013947126779,5552.74
"Poland",0.016118892954432,1615.09
"Portugal",0,6494.2
"Qatar",0.13352026169971,70.6186
"Romania",0.14980922731209,9842.682
"Russia",0.11841908579172,31470.529
"Rwanda",22.4412975457002,1003.77
"Sao Tome and Principe",13.6027982899339,14053.092
"Saudi Arabia",1.01079707359856,99.27
"Senegal",14.9226751505665,3213.92
"Sierra Leone",38.9787295058094,27861.48
"Singapore",0,136.92
"Slovak Republic",0.018198030973049,9298.23
"Slovenia",0,15928.381
"Solomon Islands",1.34961439588689,92351.17
"Somalia",39.5504663039437,1740.59
"South Africa",5.66914097899202,1035.57
"Spain",0,2540.62
"Sri Lanka",0.55269630979449,2603.15
"Sudan",10.7024825592745,1710.53
"Suriname",1.43237159811745,267971.08
"Swaziland",6.76369863013699,3978.426
"Sweden",0.027960817574306,19166.84
"Switzerland",0,7176.58
"Syria",0.76073715260658,865.4875
"Tajikistan",11.6628205460627,2406.685
"Tanzania",10.830581701313,2439.765
"Thailand",0.27231136039999,6461.5144
"Togo",10.4488345530691,2293.13
