"Country","Diarrhoea","Years_in_School"
"Afghanistan",69.5508502700227,2.6
"Albania",0.26044492674986,10.1
"Algeria",5.16194048652129,4.6
"Angola",52.4019160524976,5
"Argentina",0.12042039776453,9.7
"Armenia",0.3821169277799,11.2
"Australia",0.01870711394129,11.8
"Austria",0.013182177695755,11.8
"Azerbaijan",4.16993542936455,12
"Bahamas",0.17711654268509,10.4
"Bahrain",0.071551230681168,8.9
"Bangladesh",5.35348607874931,4.6
"Belarus",0.051918384299881,11.7
"Belgium",0.06725628005515,12
"Belize",1.34498991257566,8.4
"Benin",14.5309199014496,3.6
"Bolivia",7.87713196288996,8.3
"Bosnia and Herzegovina",0.174611489436,9.2
"Botswana",2.0755236461444,5.1
"Brazil",1.11889030816829,6.7
"Bulgaria",0.19259605728357,11.8
"Burkina Faso",30.1336870203167,1.7
"Burundi",37.1618213003935,3.4
"Cambodia",5.87600332133961,5.3
"Cameroon",20.0756225799993,6.5
"Canada",0.002832018804605,14.1
"Cape Verde",2.2432701894317,4.9
"Central African Rep.",28.00854806337,4.5
"Chad",42.1925690519613,2.6
"Chile",0.023883543840235,10.1
"China",0.5730755412495,7.6
"Colombia",0.80459982862786,6.5
"Comoros",20.3748601268184,4
"Congo, Dem. Rep.",33.993690370799,7.5
"Congo, Rep.",17.1939477303989,8
"Costa Rica",0.13256270215812,8.3
"Cote d'Ivoire",13.7254630335102,4
"Croatia",0.023713540431586,10.9
"Cuba",0.085100588896075,10.4
"Cyprus",0,12.2
"Czech Rep.",0.045832875004583,13.6
"Denmark",0.016043896099729,12.8
"Djibouti",16.7066413034488,5.2
"Dominican Rep.",2.93070684902176,7.4
"Ecuador",1.38157449641966,8.4
"Egypt",1.06496748276127,7.8
"El Salvador",0.65950328143096,7.3
"Equatorial Guinea",12.128949888286,7.6
"Eritrea",11.9366746500846,3.8
"Estonia",0,11
"Ethiopia",22.9362870139569,2.2
"Fiji",0.96170164620694,9.4
"Finland",0,11.8
"France",0.029265515379028,10.4
"Gabon",4.19774939941838,7.5
"Gambia",13.6997512112086,3.8
"Georgia",1.62916395139341,12.4
"Germany",0.010512057329757,12.3
"Ghana",6.43476996490486,7.7
"Greece",0,10.6
"Guatemala",6.48828485713402,4.9
"Guinea",18.3593381458598,2.9
"Guinea-Bissau",34.7321607189573,3
"Guyana",8.66245778887094,9.2
"Haiti",13.8953965093124,4.5
"Honduras",2.92741499332649,5.8
"Hungary",0.020284387107244,11.2
"India",7.55052179178996,6.1
"Indonesia",6.08192301002105,7.2
"Iran",3.1434077076184,7.2
"Iraq",4.8831642056649,6.1
"Ireland",0,11.1
"Israel",0,12.5
"Italy",0.001831837332845,10.6
"Jamaica",4.40839694656489,9.8
"Japan",0.0435249397905,12.1
"Jordan",0.75838203335606,10.4
"Kazakhstan",0.68361236549598,11.8
"Kenya",25.1835289337729,7.5
"Korea, Rep.",0.011070151550375,13
"Kuwait",0.038737918611633,7.4
"Kyrgyzstan",5.33838900391648,11.5
"Laos",4.19311904453422,4.4
"Latvia",0.086471529248995,11.9
"Lebanon",0.31848582738068,8.7
"Lesotho",6.87482096820395,5.8
"Liberia",23.0549730119985,5.8
"Lithuania",0,12.2
"Luxembourg",0,11.5
"Macedonia, FYR",0.40462167873039,10.6
"Madagascar",22.6385772531627,5.2
"Malawi",9.90060970516997,5.7
"Malaysia",0.063563208162242,8.2
"Maldives",2.2707423580786,4.1
"Mali",34.199317783719,1.9
"Mauritania",17.0059835868176,3
"Mauritius",0.27636524430688,8.9
"Mexico",0.95185098406748,8.2
"Moldova",0.37835792659856,11.2
"Mongolia",1.85341875176276,9
"Montenegro",0,11.6
"Morocco",4.2725589410489,4.6
"Mozambique",14.1163880392334,3.5
"Myanmar",14.2168986625504,5
"Namibia",2.51953490747519,6.8
"Nepal",6.931490038033,4.1
"Netherlands",0,11.7
"New Zealand",0.017164140677297,12.4
"Nicaragua",2.45052511252411,5.6
"Niger",30.5578815023564,1.4
"Nigeria",31.88134931609,6.6
"Norway",0.10332535431986,13.5
"Oman",0.21183333604915,6.6
"Pakistan",12.5204916458541,5.3
"Panama",1.29734969989878,9.2
"Papua New Guinea",3.14155357073812,4.8
"Paraguay",2.37497234621241,6.8
"Peru",1.08054671065488,9.6
"Philippines",2.17013947126779,8.8
"Poland",0.016118892954432,12.3
"Portugal",0,7.5
"Qatar",0.13352026169971,7.7
"Romania",0.14980922731209,12.1
"Russia",0.11841908579172,12.6
"Rwanda",22.4412975457002,4
"Saint Lucia",0,8.8
"Samoa",1.89933523266857,9.8
"Sao Tome and Principe",13.6027982899339,5.7
"Saudi Arabia",1.01079707359856,8.3
"Senegal",14.9226751505665,3.2
"Serbia",0.026196983853926,10.7
"Sierra Leone",38.9787295058094,3.1
"Singapore",0,8
"Slovak Republic",0.018198030973049,12.7
"Slovenia",0,11.9
"Solomon Islands",1.34961439588689,6.1
"Somalia",39.5504663039437,2.7
"South Africa",5.66914097899202,8.4
"Spain",0,8.9
"Sri Lanka",0.55269630979449,9.1
"Sudan",10.7024825592745,5.5
"Suriname",1.43237159811745,7.6
"Swaziland",6.76369863013699,7.2
"Sweden",0.027960817574306,12.3
"Switzerland",0,13.4
"Syria",0.76073715260658,7.3
"Tajikistan",11.6628205460627,11.5
"Tanzania",10.830581701313,5.6
"Thailand",0.27231136039999,7
"Togo",10.4488345530691,5.1
"Tonga",1.39811254806012,11.2
"Trinidad and Tobago",0,9.5
"Tunisia",1.02083231453861,8
"Turkey",0.28855618797247,8
"Turkmenistan",6.00901804512637,11.4
"Uganda",20.2485888349948,6
"Ukraine",0.098095422867569,12
"United Arab Emirates",0.063932487293418,9.3
"United Kingdom",0.005383630801367,13
"United States",0.007274539294333,13.7
"Uruguay",0.31773770752244,9.4
"Uzbekistan",4.50575826146049,11.8
"Vanuatu",2.12284177752618,6.8
"Venezuela",1.27145900338332,8.5
"Vietnam",0.31531486297862,8
"Yemen, Rep.",13.0745303797513,3.5
"Zambia",20.0362049005656,7.4
"Zimbabwe",8.36122172329069,8.2
