"Country","HIV","Energy_Production_per_Person"
"Albania",0,0.000362527216817
"Algeria",0.054586680849873,0.004706747653394
"Angola",3.8142680250338,0.005864105117407
"Argentina",0.021762722487566,0.002086386721477
"Armenia",0.084914872839978,0.000258865371456
"Australia",0,0.013992916970522
"Austria",0,0.001345537165453
"Azerbaijan",0.060346388268662,0.006555938660047
"Bahrain",0,0.016622412123619
"Bangladesh",0.017495052544932,0.000160813647121
"Belarus",0,0.000416531156354
"Belgium",0,0.001371882087879
"Benin",1.55082310667907,0.0002321532603
"Bolivia",0.10655057727581,0.001680905978147
"Bosnia and Herzegovina",0,0.001152223909719
"Botswana",0,0.000530446761905
"Brazil",0.047989250407909,0.001191397585079
"Brunei",0,0.054917269525208
"Bulgaria",0,0.001349447171389
"Cambodia",0.29615278162192,0.000261025965799
"Cameroon",6.19349782120073,0.000495881874608
"Canada",0,0.012184057353176
"Chile",0.011941771920118,0.000539191798706
"China",0.065678692227498,0.001497995339858
"Colombia",0.052260881967709,0.002079636278734
"Congo, Dem. Rep.",2.17631966016011,0.000362710778845
"Congo, Rep.",5.81395348837209,0.003452943548524
"Costa Rica",0,0.00059047319357
"Cote d'Ivoire",4.49803981326278,0.000601209079451
"Croatia",0,0.000895155630324
"Cuba",0.008510058889608,0.000505826222907
"Cyprus",0,7.6948860772e-05
"Czech Rep.",0,0.00316256053202
"Denmark",0,0.004842909407361
"Dominican Rep.",0.4282311377566,0.000194718171272
"Ecuador",0.22788857672902,0.002030823789869
"Egypt",0.016376480396609,0.00111700021876
"El Salvador",0.70775961909664,0.000507348406787
"Eritrea",2.46643668563644,0.000110275630968
"Estonia",0.062758880381574,0.003148217964527
"Ethiopia",2.93557575110973,0.000372341011368
"Finland",0,0.003105915655412
"France",0,0.002210556443689
"Gabon",7.43456821342774,0.009315025063607
"Georgia",0.076666538889102,0.000245451884812
"Germany",0.003003444951359,0.001619068047682
"Ghana",1.89949967945117,0.000294805842253
"Greece",0,0.000873416894214
"Guatemala",0.94330869390406,0.000393332961309
"Haiti",3.19564835422279,0.000204309384684
"Honduras",0.41678450752445,0.00028455476039
"Hungary",0,0.001047357353696
"Iceland",0,0.014018708194653
"India",0.31899269501155,0.000393236635946
"Indonesia",0.15048398968841,0.001378172511551
"Iran",0.17439355003293,0.004769087429561
"Iraq",0,0.003955705711546
"Ireland",0,0.000348353475618
"Israel",0,0.000549924820129
"Italy",0,0.000450335597824
"Jamaica",1.16412213740458,0.000181491110113
"Japan",0,0.000700872285069
"Jordan",0,4.7101087511e-05
"Kazakhstan",0.052585566576614,0.009084521867771
"Kenya",5.8786352271988,0.000393453557051
"Korea, Dem. Rep.",0.042789901583226,0.000862664643262
"Korea, Rep.",0,0.000937088488652
"Kuwait",0,0.060153133536157
"Kyrgyzstan",0.099782972035822,0.000228701232719
"Latvia",0,0.000787664923974
"Lebanon",0.090995950680195,3.9791068452e-05
"Libya",0,0.016349233123348
"Lithuania",0,0.001146803722485
"Luxembourg",0,0.000208005242604
"Macedonia, FYR",0,0.000791222416888
"Malaysia",0.23790800769296,0.003385857389031
"Malta",0,2.191107053e-06
"Mexico",0.038562168072477,0.00210930015033
"Moldova",0,2.7942875205e-05
"Mongolia",0.040291711994843,0.001914705447926
"Morocco",0.034031968393583,2.0217165532e-05
"Mozambique",17.6885541227086,0.000516198836694
"Myanmar",0.65018995745816,0.00048660132742
"Namibia",7.50753306889566,0.000147017253963
"Nepal",0.38128661683975,0.00029900930478
"Netherlands",0,0.004035977309457
"New Zealand",0,0.003503843907009
"Nicaragua",0.17860970207902,0.000300124548028
"Nigeria",4.88676595033804,0.001514915681224
"Norway",0,0.045823006642242
"Oman",0,0.024056725862289
"Pakistan",0.079633782036905,0.000377815318281
"Panama",0.15682249119656,0.000204879689839
"Paraguay",0.27979126270448,0.001208979843801
"Peru",0.3136541363755,0.00044437739523
"Philippines",0.014312543916028,0.000254834136361
"Poland",0,0.001867107969965
"Portugal",0.038228857052746,0.000421913277137
"Qatar",0,0.095367656117932
"Romania",0,0.001340226037197
"Russia",0.009706482441944,0.008758698749887
"Saudi Arabia",0,0.02213965133237
"Senegal",1.50991867705604,0.000104380432782
"Serbia",0,0.001096556573482
"Singapore",0,6.775468671e-06
"Slovak Republic",0,0.001179875632753
"Slovenia",0,0.00181952677968
"South Africa",30.374390546728,0.003284120660682
"Spain",0.008142046136904,0.000674164002695
"Sri Lanka",0.016416722073104,0.0002477254954
"Sudan",2.58495433118744,0.000823217208601
"Sweden",0.009320272524769,0.00359787664049
"Switzerland",0,0.001690749252232
"Syria",0,0.00120615809917
"Tajikistan",0.14001607591983,0.000222377296524
"Tanzania",8.40534432894709,0.000413324728805
"Thailand",0.27947744883157,0.000943237123957
"Togo",5.41478065908033,0.00037013074802
"Trinidad and Tobago",1.92084112621948,0.032103501021757
"Tunisia",0,0.000736968038
"Turkey",0,0.000408588874274
"Turkmenistan",0,0.013909086417604
"Ukraine",0.13951349030054,0.001767466086839
"United Arab Emirates",0,0.030131013757401
"United Kingdom",0.001345907700342,0.002722567883522
"United States",0.001363976117688,0.005579862997973
"Uruguay",0.019858606720152,0.000413863316644
"Uzbekistan",0.084946104407799,0.002313162208795
"Venezuela",0.05179399356752,0.007412662147017
"Vietnam",0.45657056592658,0.000830691957149
"Yemen, Rep.",0,0.000674913790608
"Zambia",16.9208137622864,0.00056819834095
"Zimbabwe",19.9657925951029,0.000685276997397
