"Country","HIV","Health_Spending_per_Person"
"Afghanistan",0.013400630775573,31.80972721
"Albania",0,275.14252038
"Algeria",0.054586680849873,185.84823354
"Angola",3.8142680250338,148.87881676
"Argentina",0.021762722487566,698.45126835
"Armenia",0.084914872839978,142.71827452
"Australia",0,4229.03306558
"Austria",0,5153.35866142
"Azerbaijan",0.060346388268662,233.86044575
"Bahamas",0.17711654268509,1833.42556935
"Bahrain",0,793.46605183
"Barbados",0.34977264777894,958.17848445
"Belarus",0,373.3470911
"Belgium",0,4754.27522232
"Belize",0.80699394754539,218.95707454
"Benin",1.55082310667907,33
"Bhutan",0,94.06479136
"Bolivia",0.10655057727581,85.35091165
"Bosnia and Herzegovina",0,505.60255386
"Botswana",0,535.99084407
"Brazil",0.047989250407909,714.98985619
"Brunei",0,877.06180369
"Bulgaria",0,474.17284604
"Burkina Faso",1.38043363652003,36.5127274
"Burundi",3.94571844506263,18.31932186
"Cambodia",0.29615278162192,38.85543014
"Cameroon",6.19349782120073,63.83446755
"Canada",0,4622.62643606
"Cape Verde",0,155.65526461
"Chad",5.7179658486966,28.03009406
"Chile",0.011941771920118,764.79717839
"China",0.065678692227498,156.59905287
"Colombia",0.052260881967709,376.99900347
"Comoros",0,34.45666035
"Congo, Dem. Rep.",2.17631966016011,13.70413496
"Congo, Rep.",5.81395348837209,80.40646768
"Costa Rica",0,617.698283
"Cote d'Ivoire",4.49803981326278,71.8341187
"Croatia",0,1224.05169259
"Cuba",0.008510058889608,584.63866145
"Cyprus",0,1917.63775016
"Denmark",0,6345.45678188
"Djibouti",5.62401786452733,82.4769433
"Ecuador",0.22788857672902,270.06460048
"Egypt",0.016376480396609,101.23318902
"El Salvador",0.70775961909664,215.93487107
"Equatorial Guinea",4.26907117778487,750.74928627
"Eritrea",2.46643668563644,10.65961855
"Estonia",0.062758880381574,1057.76180424
"Ethiopia",2.93557575110973,14.04323536
"Fiji",0.11314137014199,153.0510915
"Finland",0,4253.8644363
"France",0,4940.96210783
"Gabon",7.43456821342774,263.33276432
"Gambia",1.37488542621448,26.37122177
"Georgia",0.076666538889102,261.87692087
"Germany",0.003003444951359,4718.15917267
"Ghana",1.89949967945117,68.51149554
"Greece",0,3078.40821387
"Grenada",0,474.09007171
"Guatemala",0.94330869390406,198.5067007
"Guinea",2.58560678887526,25.97621308
"Guinea-Bissau",3.55477586445686,33.13959396
"Guyana",3.52371164293055,153.50783449
"Haiti",3.19564835422279,35.33440734
"Honduras",0.41678450752445,115.68858452
"Hungary",0,1118.72597813
"Iceland",0,4929.15294483
"India",0.31899269501155,43.12475092
"Indonesia",0.15048398968841,53.36093578
"Iran",0.17439355003293,276.56244084
"Iraq",0,160.73176522
"Ireland",0,5241.04343506
"Israel",0,2073.08312967
"Italy",0,3471.67858616
"Jamaica",1.16412213740458,272.32557757
"Japan",0,3253.10202246
"Jordan",0,329.55214282
"Kazakhstan",0.052585566576614,329.80684978
"Kenya",5.8786352271988,32.99259206
"Kuwait",0,1116.62940353
"Latvia",0,974.29906376
"Lebanon",0.090995950680195,555.76301814
"Lesotho",13.0419397779163,66.26062832
"Liberia",3.90552480489566,27.47533374
"Libya",0,468.62516883
"Lithuania",0,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0,326.64042808
"Madagascar",0.11786378438785,21.642137
"Malawi",12.8505804727303,21.2317324
"Malaysia",0.23790800769296,306.35306225
"Maldives",0,454.99057309
"Mali",2.05771180971697,33.62161099
"Malta",0,1596.18750451
