"Country","HIV","Water_per_Person"
"Afghanistan",0.013400630775573,2491.6
"Albania",0,13145.63
"Algeria",0.054586680849873,349.8231
"Angola",3.8142680250338,8938.79
"Argentina",0.021762722487566,20800.16
"Armenia",0.084914872839978,2581.4499
"Australia",0,23964.43
"Austria",0,9330.59
"Azerbaijan",0.060346388268662,4125.016
"Bahamas",0.17711654268509,61.109
"Bahrain",0,156.9873
"Bangladesh",0.017495052544932,7760.9844
"Barbados",0.34977264777894,273.102
"Belarus",0,5953.52
"Belgium",0,1754.5
"Belize",0.80699394754539,65881.0413
"Benin",1.55082310667907,3013.0182
"Bhutan",0,146431.84
"Bolivia",0.10655057727581,66553.4797
"Bosnia and Herzegovina",0,9550.71
"Botswana",0,6587.15
"Brazil",0.047989250407909,43486.53
"Brunei",0,22254.1
"Bulgaria",0,2768.91
"Burkina Faso",1.38043363652003,870.56
"Burundi",3.94571844506263,1533.8177
"Cambodia",0.29615278162192,33536.877
"Cameroon",6.19349782120073,15708.65
"Canada",0,89081.63
"Cape Verde",0,578.52
"Central African Rep.",11.4190694562626,33858.51
"Chad",5.7179658486966,4107.68
"Chile",0.011941771920118,55996.14
"China",0.065678692227498,2129.9392
"Colombia",0.052260881967709,46797.02
"Comoros",0,1466.2
"Congo, Dem. Rep.",2.17631966016011,21156.29
"Congo, Rep.",5.81395348837209,225517.09
"Costa Rica",0,25552.59
"Cote d'Ivoire",4.49803981326278,4289.836
"Croatia",0,23156.17
"Cuba",0.008510058889608,3383.421
"Cyprus",0,922.416
"Czech Rep.",0,1290.612
"Denmark",0,1104.96
"Djibouti",5.62401786452733,366.52
"Dominican Rep.",0.4282311377566,2183.6422
"Ecuador",0.22788857672902,32146.65
"Egypt",0.016376480396609,772.58
"El Salvador",0.70775961909664,3730.968
"Equatorial Guinea",4.26907117778487,52457.53
"Eritrea",2.46643668563644,1342.67
"Estonia",0.062758880381574,9558.4086
"Ethiopia",2.93557575110973,1505.78
"Fiji",0.11314137014199,34260.137
"Finland",0,20907.6
"France",0,3321.38
"Gabon",7.43456821342774,125112.52
"Gambia",1.37488542621448,4810.49
"Georgia",0.076666538889102,14286.097
"Germany",0.003003444951359,1863.48
"Ghana",1.89949967945117,2312.19
"Greece",0,6675.65
"Guatemala",0.94330869390406,8540.46
"Guinea",2.58560678887526,24615.15
"Guinea-Bissau",3.55477586445686,18838.92
"Guyana",3.52371164293055,326087.69
"Haiti",3.19564835422279,1484.7637
"Honduras",0.41678450752445,13765.7208
"Hungary",0,10339.58
"Iceland",0,569649.73
"India",0.31899269501155,1646.761
"Indonesia",0.15048398968841,12400.35
"Iran",0.17439355003293,1956.9468
"Iraq",0,2652.438
"Ireland",0,12318.71
"Israel",0,261.38
"Italy",0,3254.57
"Jamaica",1.16412213740458,3484.766
"Japan",0,3360.6
"Jordan",0,163.5548
"Kazakhstan",0.052585566576614,7157.341
"Kenya",5.8786352271988,839.86
"Korea, Dem. Rep.",0.042789901583226,3253.6051
"Korea, Rep.",0,1450.55
"Kuwait",0,7.197
"Kyrgyzstan",0.099782972035822,3913.569
"Laos",0.058892121411998,57913.998
"Latvia",0,15486.0326
"Lebanon",0.090995950680195,1110.3984
"Lesotho",13.0419397779163,1514.872
"Liberia",3.90552480489566,64823.93
"Libya",0,99.36
"Lithuania",0,7306.02
"Luxembourg",0,6719.3
"Macedonia, FYR",0,3142.83
"Madagascar",0.11786378438785,17589.63
"Malawi",12.8505804727303,1273.33
"Malaysia",0.23790800769296,22210.53
"Maldives",0,99.902
"Mali",2.05771180971697,8355.35
"Malta",0,124.76899
"Mauritania",0.62058872566273,3745.51
"Mauritius",0.11054609772275,2198.1165
"Mexico",0.038562168072477,4340.3532
"Moldova",0,3039.625
"Mongolia",0.040291711994843,13360.82
"Morocco",0.034031968393583,939.94
"Mozambique",17.6885541227086,10352.646
"Myanmar",0.65018995745816,21612.6118
"Namibia",7.50753306889566,8656.0097
"Nepal",0.38128661683975,7604.54
"Netherlands",0,5555.89
"New Zealand",0,78993.42
"Nicaragua",0.17860970207902,35552.613
"Niger",0.72982729528787,2449.638
"Nigeria",4.88676595033804,1977.61
"Norway",0,81822.22
"Oman",0,549.81
"Pakistan",0.079633782036905,1399.687
"Panama",0.15682249119656,45012.407
"Papua New Guinea",1.74960368093415,129158.17
"Paraguay",0.27979126270448,55853.83
"Peru",0.3136541363755,69340.29
"Philippines",0.014312543916028,5552.74
"Poland",0,1615.09
"Portugal",0.038228857052746,6494.2
"Qatar",0,70.6186
"Romania",0,9842.682
"Russia",0.009706482441944,31470.529
"Rwanda",0.69725836027662,1003.77
"Sao Tome and Principe",0,14053.092
"Saudi Arabia",0,99.27
"Senegal",1.50991867705604,3213.92
"Sierra Leone",2.85876875786946,27861.48
"Singapore",0,136.92
"Slovak Republic",0,9298.23
"Slovenia",0,15928.381
"Solomon Islands",0,92351.17
"Somalia",0.41735910336088,1740.59
"South Africa",30.374390546728,1035.57
"Spain",0.008142046136904,2540.62
"Sri Lanka",0.016416722073104,2603.15
"Sudan",2.58495433118744,1710.53
"Suriname",0.61387354205034,267971.08
"Swaziland",40.1541095890411,3978.426
"Sweden",0.009320272524769,19166.84
"Switzerland",0,7176.58
"Syria",0,865.4875
"Tajikistan",0.14001607591983,2406.685
"Tanzania",8.40534432894709,2439.765
"Thailand",0.27947744883157,6461.5144
"Togo",5.41478065908033,2293.13
"Trinidad and Tobago",1.92084112621948,2890.625
"Tunisia",0,449.8189
"Turkey",0,2889.0272
"Turkmenistan",0,5045.458
"Uganda",6.51049751199652,2207.46
"Ukraine",0.13951349030054,2997.373
"United Arab Emirates",0,35.306
"United Kingdom",0.001345907700342,2429.26
"United States",0.001363976117688,10074.58
"Uruguay",0.019858606720152,41726.76
"Uzbekistan",0.084946104407799,1868.385
"Venezuela",0.05179399356752,45351.788
"Vietnam",0.45657056592658,10338.159
"Yemen, Rep.",0,96.63
"Zambia",16.9208137622864,8994.4
"Zimbabwe",19.9657925951029,1511.92
