"Country","HIV","Years_in_School"
"Afghanistan",0.013400630775573,2.6
"Albania",0,10.1
"Algeria",0.054586680849873,4.6
"Angola",3.8142680250338,5
"Argentina",0.021762722487566,9.7
"Armenia",0.084914872839978,11.2
"Australia",0,11.8
"Austria",0,11.8
"Azerbaijan",0.060346388268662,12
"Bahamas",0.17711654268509,10.4
"Bahrain",0,8.9
"Bangladesh",0.017495052544932,4.6
"Belarus",0,11.7
"Belgium",0,12
"Belize",0.80699394754539,8.4
"Benin",1.55082310667907,3.6
"Bolivia",0.10655057727581,8.3
"Bosnia and Herzegovina",0,9.2
"Botswana",0,5.1
"Brazil",0.047989250407909,6.7
"Bulgaria",0,11.8
"Burkina Faso",1.38043363652003,1.7
"Burundi",3.94571844506263,3.4
"Cambodia",0.29615278162192,5.3
"Cameroon",6.19349782120073,6.5
"Canada",0,14.1
"Cape Verde",0,4.9
"Central African Rep.",11.4190694562626,4.5
"Chad",5.7179658486966,2.6
"Chile",0.011941771920118,10.1
"China",0.065678692227498,7.6
"Colombia",0.052260881967709,6.5
"Comoros",0,4
"Congo, Dem. Rep.",2.17631966016011,7.5
"Congo, Rep.",5.81395348837209,8
"Costa Rica",0,8.3
"Cote d'Ivoire",4.49803981326278,4
"Croatia",0,10.9
"Cuba",0.008510058889608,10.4
"Cyprus",0,12.2
"Czech Rep.",0,13.6
"Denmark",0,12.8
"Djibouti",5.62401786452733,5.2
"Dominican Rep.",0.4282311377566,7.4
"Ecuador",0.22788857672902,8.4
"Egypt",0.016376480396609,7.8
"El Salvador",0.70775961909664,7.3
"Equatorial Guinea",4.26907117778487,7.6
"Eritrea",2.46643668563644,3.8
"Estonia",0.062758880381574,11
"Ethiopia",2.93557575110973,2.2
"Fiji",0.11314137014199,9.4
"Finland",0,11.8
"France",0,10.4
"Gabon",7.43456821342774,7.5
"Gambia",1.37488542621448,3.8
"Georgia",0.076666538889102,12.4
"Germany",0.003003444951359,12.3
"Ghana",1.89949967945117,7.7
"Greece",0,10.6
"Guatemala",0.94330869390406,4.9
"Guinea",2.58560678887526,2.9
"Guinea-Bissau",3.55477586445686,3
"Guyana",3.52371164293055,9.2
"Haiti",3.19564835422279,4.5
"Honduras",0.41678450752445,5.8
"Hungary",0,11.2
"India",0.31899269501155,6.1
"Indonesia",0.15048398968841,7.2
"Iran",0.17439355003293,7.2
"Iraq",0,6.1
"Ireland",0,11.1
"Israel",0,12.5
"Italy",0,10.6
"Jamaica",1.16412213740458,9.8
"Japan",0,12.1
"Jordan",0,10.4
"Kazakhstan",0.052585566576614,11.8
"Kenya",5.8786352271988,7.5
"Korea, Rep.",0,13
"Kuwait",0,7.4
"Kyrgyzstan",0.099782972035822,11.5
"Laos",0.058892121411998,4.4
"Latvia",0,11.9
"Lebanon",0.090995950680195,8.7
"Lesotho",13.0419397779163,5.8
"Liberia",3.90552480489566,5.8
"Lithuania",0,12.2
"Luxembourg",0,11.5
"Macedonia, FYR",0,10.6
"Madagascar",0.11786378438785,5.2
"Malawi",12.8505804727303,5.7
"Malaysia",0.23790800769296,8.2
"Maldives",0,4.1
"Mali",2.05771180971697,1.9
"Mauritania",0.62058872566273,3
"Mauritius",0.11054609772275,8.9
"Mexico",0.038562168072477,8.2
"Moldova",0,11.2
"Mongolia",0.040291711994843,9
"Montenegro",0,11.6
"Morocco",0.034031968393583,4.6
"Mozambique",17.6885541227086,3.5
"Myanmar",0.65018995745816,5
"Namibia",7.50753306889566,6.8
"Nepal",0.38128661683975,4.1
"Netherlands",0,11.7
"New Zealand",0,12.4
"Nicaragua",0.17860970207902,5.6
"Niger",0.72982729528787,1.4
"Nigeria",4.88676595033804,6.6
"Norway",0,13.5
"Oman",0,6.6
"Pakistan",0.079633782036905,5.3
"Panama",0.15682249119656,9.2
"Papua New Guinea",1.74960368093415,4.8
"Paraguay",0.27979126270448,6.8
"Peru",0.3136541363755,9.6
"Philippines",0.014312543916028,8.8
"Poland",0,12.3
"Portugal",0.038228857052746,7.5
"Qatar",0,7.7
"Romania",0,12.1
"Russia",0.009706482441944,12.6
"Rwanda",0.69725836027662,4
"Saint Lucia",0,8.8
"Samoa",0,9.8
"Sao Tome and Principe",0,5.7
"Saudi Arabia",0,8.3
"Senegal",1.50991867705604,3.2
"Serbia",0,10.7
"Sierra Leone",2.85876875786946,3.1
"Singapore",0,8
"Slovak Republic",0,12.7
"Slovenia",0,11.9
"Solomon Islands",0,6.1
"Somalia",0.41735910336088,2.7
"South Africa",30.374390546728,8.4
"Spain",0.008142046136904,8.9
"Sri Lanka",0.016416722073104,9.1
"Sudan",2.58495433118744,5.5
"Suriname",0.61387354205034,7.6
"Swaziland",40.1541095890411,7.2
"Sweden",0.009320272524769,12.3
"Switzerland",0,13.4
"Syria",0,7.3
"Tajikistan",0.14001607591983,11.5
"Tanzania",8.40534432894709,5.6
"Thailand",0.27947744883157,7
"Togo",5.41478065908033,5.1
"Tonga",0,11.2
"Trinidad and Tobago",1.92084112621948,9.5
"Tunisia",0,8
"Turkey",0,8
"Turkmenistan",0,11.4
"Uganda",6.51049751199652,6
"Ukraine",0.13951349030054,12
"United Arab Emirates",0,9.3
"United Kingdom",0.001345907700342,13
"United States",0.001363976117688,13.7
"Uruguay",0.019858606720152,9.4
"Uzbekistan",0.084946104407799,11.8
"Vanuatu",0,6.8
"Venezuela",0.05179399356752,8.5
"Vietnam",0.45657056592658,8
"Yemen, Rep.",0,3.5
"Zambia",16.9208137622864,7.4
"Zimbabwe",19.9657925951029,8.2
