"Country","Infections","Years_in_School"
"Afghanistan",38.4803054082581,2.6
"Albania",2.14867064568638,10.1
"Algeria",4.26196008174006,4.6
"Angola",33.1315256813593,5
"Argentina",1.30576334925397,9.7
"Armenia",1.74075489321955,11.2
"Australia",0.4714192713205,11.8
"Austria",0.3822831531769,11.8
"Azerbaijan",3.85613421036751,12
"Bahamas",1.77116542685087,10.4
"Bahrain",1.28792215226102,8.9
"Bangladesh",3.88565117022949,4.6
"Belarus",0.76839208763823,11.7
"Belgium",0.49601506540673,12
"Belize",2.15198386012105,8.4
"Benin",11.2829696214236,3.6
"Bolivia",5.87169788344889,8.3
"Bosnia and Herzegovina",1.33868808567604,9.2
"Botswana",2.5414575258911,5.1
"Brazil",4.04430213001415,6.7
"Bulgaria",1.19684692740504,11.8
"Burkina Faso",23.7975659972142,1.7
"Burundi",22.895977168884,3.4
"Cambodia",15.3362856352062,5.3
"Cameroon",14.978268802349,6.5
"Canada",0.74765296441568,14.1
"Cape Verde",1.91093386507145,4.9
"Central African Rep.",17.0831357622131,4.5
"Chad",18.8512305664398,2.6
"Chile",0.76427340288752,10.1
"China",0.76294265908264,7.6
"Colombia",1.62117610937332,6.5
"Comoros",13.7541961954495,4
"Congo, Dem. Rep.",20.0224180675071,7.5
"Congo, Rep.",12.5715748056684,8
"Costa Rica",0.49048199798505,8.3
"Cote d'Ivoire",8.62343635280591,4
"Croatia",0.3557031064738,10.9
"Cuba",0.42550294448038,10.4
"Cyprus",0.30238887208951,12.2
"Czech Rep.",0.40332930004033,13.6
"Denmark",0.30483402589485,12.8
"Djibouti",11.7856256719874,5.2
"Dominican Rep.",3.47491725325411,7.4
"Ecuador",3.43613244599219,8.4
"Egypt",1.72747055335135,7.8
"El Salvador",2.51737228155964,7.3
"Equatorial Guinea",5.46600702202362,7.6
"Eritrea",8.72865900551515,3.8
"Estonia",0.37655328228944,11
"Ethiopia",9.68352036313201,2.2
"Fiji",2.14968603269786,9.4
"Finland",0.16946280291476,11.8
"France",0.45494573907399,10.4
"Gabon",2.12416234669364,7.5
"Gambia",11.0809218279429,3.8
"Georgia",2.54916241806264,12.4
"Germany",0.44601157527684,12.3
"Ghana",4.44141887470837,7.7
"Greece",0.084356547005343,10.6
"Guatemala",3.89031992966054,4.9
"Guinea",9.3403132817062,2.9
"Guinea-Bissau",19.4204638136128,3
"Guyana",6.82719130817795,9.2
"Haiti",3.92409511538011,4.5
"Honduras",3.24000337396982,5.8
"Hungary",0.61867380677093,11.2
"India",3.12267281173798,6.1
"Indonesia",5.35865192887297,7.2
"Iran",2.91784910778242,7.2
"Iraq",1.99669512530983,6.1
"Ireland",0.26048827079203,11.1
"Israel",0.39316043805221,12.5
"Italy",0.4084997252244,10.6
"Jamaica",5.22900763358779,9.8
"Japan",0.29403514880693,12.1
"Jordan",1.54862885802961,10.4
"Kazakhstan",3.03352987188841,11.8
"Kenya",17.0888706248813,7.5
"Korea, Rep.",0.72398791139451,13
"Kuwait",1.22024443626644,7.4
"Kyrgyzstan",4.9891486017911,11.5
"Laos",10.465129974912,4.4
"Latvia",0.77824376324095,11.9
"Lebanon",0.97062347392208,8.7
"Lesotho",5.84696783325189,5.8
"Liberia",13.1192629009523,5.8
"Lithuania",0.35014005602241,12.2
"Luxembourg",0.55025678650037,11.5
"Macedonia, FYR",1.39369689340467,10.6
"Madagascar",13.6969358326276,5.2
"Malawi",9.03867034160194,5.7
"Malaysia",0.5121378486215,8.2
"Maldives",2.79475982532751,4.1
"Mali",18.1192956577856,1.9
"Mauritania",10.8556714399511,3
"Mauritius",1.65819146584126,8.9
"Mexico",1.76068025616995,8.2
"Moldova",0.35610157797512,11.2
"Mongolia",7.59498771102784,9
"Montenegro",0.65936964262165,11.6
"Morocco",2.80763739247058,4.6
"Mozambique",10.7724024784968,3.5
"Myanmar",9.58907602417177,5
"Namibia",1.95774671864626,6.8
"Nepal",2.8876653096143,4.1
"Netherlands",0.29177518181916,11.7
"New Zealand",0.34328281354594,12.4
"Nicaragua",3.32928484675288,5.6
"Niger",18.1950877690052,1.4
"Nigeria",16.2253502995149,6.6
"Norway",0.46496409443937,13.5
"Oman",0.8310384721928,6.6
"Pakistan",4.97907880015687,5.3
"Panama",3.53563434697689,9.2
"Papua New Guinea",7.79105285543054,4.8
"Paraguay",2.98660906003149,6.8
"Peru",2.83438240515247,9.6
"Philippines",4.11306730786863,8.8
"Poland",0.59371255715491,12.3
"Portugal",0.27715921363241,7.5
"Qatar",0.73436143934842,7.7
"Romania",0.25748460944266,12.1
"Russia",0.32743200770824,12.6
"Rwanda",12.8508934087994,4
"Saint Lucia",2.63591433278418,8.8
"Samoa",3.08641975308642,9.8
"Sao Tome and Principe",10.2992615623785,5.7
"Saudi Arabia",1.92169962903578,8.3
"Senegal",12.240974514274,3.2
"Serbia",0.75971253176384,10.7
"Sierra Leone",22.5564920487693,3.1
"Singapore",0.21514051364798,8
"Slovak Republic",0.60053502211061,12.7
"Slovenia",0.30811893390849,11.9
"Solomon Islands",4.04884318766067,6.1
"Somalia",17.5467884849359,2.7
"South Africa",2.94406820195593,8.4
"Spain",0.48648725668004,8.9
"Sri Lanka",1.49392170865243,9.1
"Sudan",8.44624182363512,5.5
"Suriname",3.17167996726008,7.6
"Swaziland",4.79452054794521,7.2
"Sweden",0.19572572302014,12.3
"Switzerland",0.34451395970565,13.4
"Syria",1.91285578016221,7.3
"Tajikistan",9.88409780382192,11.5
"Tanzania",8.45502330677954,5.6
"Thailand",0.80976799276839,7
"Togo",6.55696095435509,5.1
"Tonga",2.44669695910521,11.2
"Trinidad and Tobago",0.65712985896982,9.5
"Tunisia",1.9194092620666,8
"Turkey",1.4153347214691,8
"Turkmenistan",7.21985777151274,11.4
"Uganda",10.8444610622168,6
"Ukraine",1.07904965154326,12
"United Arab Emirates",0.41556116740722,9.3
"United Kingdom",0.62988480375993,13
"United States",0.86180557702555,13.7
"Uruguay",1.60854714433235,9.4
"Uzbekistan",4.5780528184033,11.8
"Vanuatu",3.25502405887348,6.8
"Venezuela",1.11273547470866,8.5
"Vietnam",0.94259729739681,8
"Yemen, Rep.",3.70636158246861,3.5
"Zambia",16.7622790653089,7.4
"Zimbabwe",5.64739896636448,8.2
