"Country","Injury","Water_per_Person"
"Afghanistan",9.50735339907,2491.6
"Albania",1.4758545849159,13145.63
"Algeria",0.90277972174789,349.8231
"Angola",6.2067485788588,8938.79
"Argentina",0.9416004596287,20800.16
"Armenia",1.01897847407974,2581.4499
"Australia",0.40407366113186,23964.43
"Austria",0.31637226469813,9330.59
"Azerbaijan",0.89916118520307,4125.016
"Bahamas",1.41693234148069,61.109
"Bahrain",1.21637092157985,156.9873
"Bangladesh",1.20103535720961,7760.9844
"Barbados",0.69954529555789,273.102
"Belarus",1.98328228025544,5953.52
"Belgium",0.45397989037226,1754.5
"Belize",2.01748486886348,65881.0413
"Benin",2.51350386535344,3013.0182
"Bhutan",2.78041502780415,146431.84
"Bolivia",1.49170808186129,66553.4797
"Bosnia and Herzegovina",0.93126127699203,9550.71
"Botswana",1.5036957028189,6587.15
"Brazil",0.86058575228142,43486.53
"Brunei",0.77170418006431,22254.1
"Bulgaria",0.57778817185071,2768.91
"Burkina Faso",4.05528393924427,870.56
"Burundi",6.13297972008821,1533.8177
"Cambodia",3.03072239136452,33536.877
"Cameroon",2.32291665187629,15708.65
"Canada",0.33134620013877,89081.63
"Cape Verde",0.83084081090063,578.52
"Central African Rep.",1.89668275382747,33858.51
"Chad",2.79678750634494,4107.68
"Chile",0.51349619256505,55996.14
"China",2.0026762274843,2129.9392
"Colombia",0.9820690736432,46797.02
"Comoros",1.8183513614323,1466.2
"Congo, Dem. Rep.",3.6250049808303,21156.29
"Congo, Rep.",1.78337225296696,225517.09
"Costa Rica",0.31815048517949,25552.59
"Cote d'Ivoire",1.37559394350783,4289.836
"Croatia",0.33198956604221,23156.17
"Cuba",0.4510331211492,3383.421
"Cyprus",0.40318516278601,922.416
"Czech Rep.",0.439995600044,1290.612
"Denmark",0.19252675319675,1104.96
"Djibouti",2.10900669919775,366.52
"Dominican Rep.",0.90106968569619,2183.6422
"Ecuador",1.54893016995503,32146.65
"Egypt",0.99846904721141,772.58
"El Salvador",1.18228027280916,3730.968
"Equatorial Guinea",1.79540376635812,52457.53
"Eritrea",2.54334117026653,1342.67
"Estonia",0.94138320572361,9558.4086
"Ethiopia",2.6038686232861,1505.78
"Fiji",1.24455507156192,34260.137
"Finland",0.18640908320624,20907.6
"France",0.2647198891103,3321.38
"Gabon",0.70805411556455,125112.52
"Gambia",2.81524158701061,4810.49
"Georgia",1.05416490972515,14286.097
"Germany",0.24027559610874,1863.48
"Ghana",1.36943748636841,2312.19
"Greece",0.28118849001781,6675.65
"Guatemala",1.68337523361802,8540.46
"Guinea",1.88438206802645,24615.15
"Guinea-Bissau",3.72405090562147,18838.92
"Guyana",2.71619439142564,326087.69
"Haiti",1.68384678458475,1484.7637
"Honduras",1.15111911601991,13765.7208
"Hungary",0.33469238726952,10339.58
"Iceland",0,569649.73
"India",1.8173851724764,1646.761
"Indonesia",0.82635853865116,12400.35
"Iran",1.19048820105126,1956.9468
"Iraq",2.15240556744275,2652.438
"Ireland",0.26048827079203,12318.71
"Israel",0.20015440482658,261.38
"Italy",0.18867924528302,3254.57
"Jamaica",1.52671755725191,3484.766
"Japan",0.34723229743977,3360.6
"Jordan",0.88584119862599,163.5548
"Kazakhstan",1.86350101555875,7157.341
"Kenya",4.25611862694201,839.86
"Korea, Dem. Rep.",1.31731768445504,3253.6051
"Korea, Rep.",0.63764072930158,1450.55
"Kuwait",0.48422398264541,7.197
"Kyrgyzstan",1.04772120637613,3913.569
"Laos",1.62542255097113,57913.998
"Latvia",0.73500799861646,15486.0326
"Lebanon",0.94029149036201,1110.3984
"Lesotho",1.48280452255379,1514.872
"Liberia",1.91150685873414,64823.93
"Libya",1.20603425954947,99.36
"Lithuania",1.14591291061879,7306.02
"Luxembourg",0.36683785766691,6719.3
"Macedonia, FYR",0.31470575012363,3142.83
"Madagascar",1.99349857544883,17589.63
"Malawi",2.16988223502882,1273.33
"Malaysia",0.53937922354817,22210.53
"Maldives",1.22270742358079,99.902
"Mali",4.26661749792569,8355.35
"Malta",1.08695652173913,124.76899
"Mauritania",2.72318037828125,3745.51
"Mauritius",0.60800353747513,2198.1165
"Mexico",1.52296157450797,4340.3532
"Moldova",2.3814293027086,3039.625
"Mongolia",1.95414803174987,13360.82
"Morocco",0.91731623897248,939.94
"Mozambique",2.18596940783732,10352.646
"Myanmar",27.0657505820328,21612.6118
"Namibia",0.57881207333889,8656.0097
"Nepal",1.05229639772977,7604.54
"Netherlands",0.25395247306483,5555.89
"New Zealand",0.48059593896432,78993.42
"Nicaragua",1.20740158605415,35552.613
"Niger",2.515817140949,2449.638
"Nigeria",2.51131693506525,1977.61
"Norway",0.30997606295958,81822.22
"Oman",0.78215385618146,549.81
"Pakistan",1.39424699326261,1399.687
"Panama",1.05498766804956,45012.407
"Papua New Guinea",2.0105942852724,129158.17
"Paraguay",1.0410837682027,55853.83
"Peru",1.31045026611337,69340.29
"Philippines",1.38250228888886,5552.74
"Poland",0.37610750227008,1615.09
"Portugal",0.2867164278956,6494.2
"Qatar",0.86788170104813,70.6186
"Romania",1.00653074600314,9842.682
"Russia",1.31037512966243,31470.529
"Rwanda",4.13392323210267,1003.77
"Sao Tome and Principe",2.72055965798679,14053.092
"Saudi Arabia",1.48995213528765,99.27
"Senegal",1.70982340331417,3213.92
"Sierra Leone",4.68246606892411,27861.48
"Singapore",0.13446282102999,136.92
"Slovak Republic",0.56413896016451,9298.23
"Slovenia",0.15405946695424,15928.381
"Solomon Islands",1.02827763496144,92351.17
"Somalia",4.57324399319072,1740.59
"South Africa",1.15270395208857,1035.57
"Spain",0.27072303405207,2540.62
"Sri Lanka",2.7087591420621,2603.15
"Sudan",2.81644277875646,1710.53
"Suriname",2.04624514016779,267971.08
"Swaziland",0.7134703196347,3978.426
"Sweden",0.093202725247686,19166.84
"Switzerland",0.24805005098807,7176.58
"Syria",1.15889579595301,865.4875
"Tajikistan",1.84095210931626,2406.685
"Tanzania",3.2364724990163,2439.765
"Thailand",0.61321242435938,6461.5144
"Togo",1.48530441690051,2293.13
"Trinidad and Tobago",2.78016478794925,2890.625
"Tunisia",1.17365152330187,449.8189
"Turkey",1.04592345768943,2889.0272
"Turkmenistan",1.35541760416384,5045.458
"Uganda",4.49362152735371,2207.46
"Ukraine",1.88343211905732,2997.373
"United Arab Emirates",0.5274430201707,35.306
"United Kingdom",0.22476658595707,2429.26
"United States",0.87180806855526,10074.58
"Uruguay",1.46953689729129,41726.76
"Uzbekistan",0.93079242063865,1868.385
"Venezuela",1.64404160227225,45351.788
"Vietnam",0.60786814349169,10338.159
"Yemen, Rep.",1.60549889282054,96.63
"Zambia",4.16983121585052,8994.4
"Zimbabwe",1.67065576548335,1511.92
