"Country","Malaria","Agriculture_Land"
"Afghanistan",0.036260530333904,58.123668031216
"Albania",0,43.1021897810219
"Algeria",0,17.344042590711
"Angola",17.9804413745324,46.274163792412
"Argentina",0,51.5220942086974
"Armenia",0,61.3412921348315
"Australia",0,54.3181078583237
"Austria",0,38.4596725288053
"Azerbaijan",0,57.5647542967804
"Bahamas",0,1.2987012987013
"Bahrain",0,9.21052631578947
"Bangladesh",0.94589917426268,69.0020742106476
"Barbados",0,44.1860465116279
"Belarus",0,43.9477575160177
"Belgium",0,45.3434610303831
"Belize",0,6.66374397194213
"Benin",26.8175354202145,30.6906526848671
"Bhutan",0,13.0763219588434
"Bolivia",0.011416133279551,33.9878150096926
"Bosnia and Herzegovina",0,41.7647058823529
"Botswana",0.31768219073639,45.6160782030244
"Brazil",0.012238869231547,31.290561291436
"Brunei",0,2.08728652751423
"Bulgaria",0,46.9662093729859
"Burkina Faso",33.1234704240359,45.1754385964912
"Burundi",14.9252655702734,85.2803738317757
"Cambodia",0.6947135344589,31.4695218672105
"Cameroon",24.1918422461298,19.4897505870407
"Canada",0,7.43387316888638
"Cape Verde",0.083084081090063,23.0769230769231
"Central African Rep.",24.1307412002364,8.36302931073229
"Chad",36.7915992047012,39.09625158831
"Chile",0,21.1652522426802
"China",0.000110291674605,56.0219909343145
"Colombia",0.013065220491927,38.408292023434
"Comoros",0,80.6451612903226
"Congo, Dem. Rep.",32.638211544092,9.90273703711872
"Congo, Rep.",29.6295703912223,30.8931185944363
"Costa Rica",0,35.2526439482961
"Cote d'Ivoire",23.1399005361076,63.8364779874214
"Croatia",0,23.0164403145104
"Cuba",0,61.3491168733559
"Cyprus",0,12.4458874458874
"Czech Rep.",0,54.9385113268608
"Denmark",0,62.880037709168
"Djibouti",0.16541229013316,73.3822260569456
"Dominican Rep.",0.017842964073192,50.6415562913907
"Ecuador",0,29.9766468030279
"Egypt",0,3.55818976342358
"El Salvador",0,74.9517374517375
"Equatorial Guinea",38.6610277689116,11.0516934046346
"Eritrea",0.15930214673376,74.970297029703
"Estonia",0,21.3965557914602
"Ethiopia",7.0434419948983,34.513
"Fiji",0,23.4263820470717
"Finland",0,7.55511681474169
"France",0,53.5350399883139
"Gabon",22.4554305221899,19.9479954981178
"Gambia",23.684038234909,65.5
"Georgia",0,36.3073823571737
"Germany",0,48.5385652410865
"Ghana",18.9883875402338,68.1198910081744
"Greece",0,63.8401861908456
