"Country","Malaria","GDP_per_Person"
"Afghanistan",0.036260530333904,984.805841434435
"Albania",0,6365.53035936449
"Algeria",0,6162.71983982498
"Angola",17.9804413745324,5488.45774780583
"Argentina",0,13457.9487462775
"Armenia",0,5346.9806575419
"Australia",0,34444.3330639544
"Austria",0,36700.3072450903
"Azerbaijan",0,8330.51262498759
"Bahamas",0,22560.0774446243
"Bahrain",0,31538.9359959238
"Bangladesh",0.94589917426268,1470.33214791842
"Barbados",0,16959.9006892376
"Belarus",0,11533.7399896272
"Belgium",0,33506.6017580775
"Belize",0,7297.02262590738
"Benin",26.8175354202145,1447.6369264305
"Bhutan",0,4579.65710375918
"Bolivia",0.011416133279551,3956.39668706737
"Bosnia and Herzegovina",0,7739.97652360728
"Botswana",0.31768219073639,13240.0610624653
"Brazil",0.012238869231547,9681.54835486593
"Brunei",0,46525.232469598
"Bulgaria",0,11426.8799052783
"Burkina Faso",33.1234704240359,1220.95336872295
"Burundi",14.9252655702734,457.404497558135
"Cambodia",0.6947135344589,1797.20037839448
"Cameroon",24.1918422461298,2020.09822964906
"Canada",0,35978.2095484015
"Cape Verde",0.083084081090063,3444.57053913748
"Central African Rep.",24.1307412002364,711.440652945228
"Chad",36.7915992047012,1656.47627304093
"Chile",0,13653.2996248994
"China",0.000110291674605,6481.59866430443
"Colombia",0.013065220491927,7186.0910111867
"Comoros",0,1026.02534523246
"Congo, Dem. Rep.",32.638211544092,359.658528305841
"Congo, Rep.",29.6295703912223,3668.40677919881
"Costa Rica",0,9831.54755185184
"Cote d'Ivoire",23.1399005361076,1509.22750818159
"Croatia",0,14918.4507352992
"Cuba",0,9259.94522002074
"Cyprus",0,25900.624193734
"Czech Rep.",0,23294.8763238796
"Denmark",0,34629.1011975181
"Djibouti",0.16541229013316,2105.68582245068
"Dominican Rep.",0.017842964073192,6195.69108185505
"Ecuador",0,7091.73586355785
"Egypt",0,5762.2594433321
"El Salvador",0,5827.17660993382
"Equatorial Guinea",38.6610277689116,15059.5907096556
"Eritrea",0.15930214673376,562.014933000928
"Estonia",0,18983.7765250644
"Ethiopia",7.0434419948983,765.941212073413
"Fiji",0,4185.99726160958
"Finland",0,33162.4027330664
"France",0,30459.7213215217
"Gabon",22.4554305221899,12453.3906250536
"Gambia",23.684038234909,739.335423557237
"Georgia",0,4345.65577490643
"Germany",0,33157.2439621593
"Ghana",18.9883875402338,1391.187032899
"Greece",0,27256.4673706908
"Grenada",0,9298.8476250119
"Guatemala",0,5261.71061883662
"Guinea",32.7204204288435,970.901874681017
"Guinea-Bissau",33.0394103073111,582.437533438509
"Guyana",0.51387461459404,3669.78460650045
"Haiti",0.6076490570458,1191.83611868498
"Honduras",0.009923440655344,3620.99921333898
"Hungary",0,17922.2716764316
"Iceland",0,37921.9535050198
"India",0.23379173407253,2605.77092476447
"Indonesia",0.32916891602709,3686.60305387481
"Iran",0.000720634504268,11679.1893016507
"Iraq",0,3496.68419227387
"Ireland",0,38163.91179621
"Israel",0,26036.3923440958
"Italy",0,27950.9520435783
"Jamaica",0,7274.02173559466
"Japan",0,31079.6707954382
"Jordan",0,5037.16615728507
"Kazakhstan",0,10477.1827452162
"Kenya",13.7196923326132,1436.09866877488
"Korea, Dem. Rep.",0,1584.55230565388
"Korea, Rep.",0,23735.7702933565
"Kuwait",0,45620.5963949171
"Kyrgyzstan",0,2018.20054907352
"Laos",0.1118950306828,2185.00672943914
"Latvia",0,15987.0100149469
"Lebanon",0,12016.9832476878
"Lesotho",0,1625.46860323032
"Liberia",21.7485474610651,437.713601161059
"Libya",0,11787.4844297538
"Lithuania",0,17445.1557543887
"Luxembourg",0,73998.7104751099
"Macedonia, FYR",0,8601.9909002895
"Madagascar",3.62904047238641,1089.08820974261
"Malawi",15.6619059550656,769.4260960504
"Malaysia",0.01089654997067,12969.6741467774
"Maldives",0,5654.0258050368
"Mali",38.5691896376878,1078.48845139799
"Malta",0,22214.5263028362
"Mauritania",15.2368425927641,1822.58284007474
"Mauritius",0,11617.6084152851
"Mexico",0,11870.9570323346
"Micronesia, Fed. Sts.",0,5330.06601704576
"Moldova",0,2769.37034345943
"Mongolia",0,3300.27451367588
"Montenegro",0,9809.7045983702
"Morocco",0,4011.37704345564
"Mozambique",15.7319061402238,872.109691194885
"Myanmar",2.12611135410149,1445.05661058846
"Namibia",2.11096167923597,5025.94060935855
"Nepal",0.010932949586803,1138.86976511345
"Netherlands",0,37692.2980578829
"New Zealand",0,25160.5345750121
"Nicaragua",0,2904.07317946706
"Niger",27.465285771024,643.805349299792
"Nigeria",36.0584169015047,2100.10575071392
"Norway",0,48321.9058439174
"Oman",0,24358.5450044704
"Pakistan",0.10099437298327,2660.74984002263
"Panama",0,10674.4244869141
"Papua New Guinea",4.92015620770986,1904.76281601853
"Paraguay",0,4318.76231813703
"Peru",0.027916860305673,7912.55775926635
"Philippines",0.017890679895035,3228.11859624304
"Poland",0,16210.6003726298
"Portugal",0,20601.2286182922
"Qatar",0,73806.5681349922
"Romania",0,11590.7804628416
"Russia",0,14756.2168715368
"Rwanda",6.04456002004928,1001.28001142359
"Saint Lucia",0,10626.2415661953
"Saint Vincent and the Grenadines",0,7264.52969676163
"Samoa",0,5220.46188785014
"Sao Tome and Principe",0.7773027594248,1746.87152047107
"Saudi Arabia",0,23293.7748532448
"Senegal",19.4949641022151,1723.33796731707
"Serbia",0,9877.97205855904
