"Country","Malaria","Health_Spending_per_Person"
"Afghanistan",0.036260530333904,31.80972721
"Albania",0,275.14252038
"Algeria",0,185.84823354
"Angola",17.9804413745324,148.87881676
"Argentina",0,698.45126835
"Armenia",0,142.71827452
"Australia",0,4229.03306558
"Austria",0,5153.35866142
"Azerbaijan",0,233.86044575
"Bahamas",0,1833.42556935
"Bahrain",0,793.46605183
"Barbados",0,958.17848445
"Belarus",0,373.3470911
"Belgium",0,4754.27522232
"Belize",0,218.95707454
"Benin",26.8175354202145,33
"Bhutan",0,94.06479136
"Bolivia",0.011416133279551,85.35091165
"Bosnia and Herzegovina",0,505.60255386
"Botswana",0.31768219073639,535.99084407
"Brazil",0.012238869231547,714.98985619
"Brunei",0,877.06180369
"Bulgaria",0,474.17284604
"Burkina Faso",33.1234704240359,36.5127274
"Burundi",14.9252655702734,18.31932186
"Cambodia",0.6947135344589,38.85543014
"Cameroon",24.1918422461298,63.83446755
"Canada",0,4622.62643606
"Cape Verde",0.083084081090063,155.65526461
"Chad",36.7915992047012,28.03009406
"Chile",0,764.79717839
"China",0.000110291674605,156.59905287
"Colombia",0.013065220491927,376.99900347
"Comoros",0,34.45666035
"Congo, Dem. Rep.",32.638211544092,13.70413496
"Congo, Rep.",29.6295703912223,80.40646768
"Costa Rica",0,617.698283
"Cote d'Ivoire",23.1399005361076,71.8341187
"Croatia",0,1224.05169259
"Cuba",0,584.63866145
"Cyprus",0,1917.63775016
"Denmark",0,6345.45678188
"Djibouti",0.16541229013316,82.4769433
"Ecuador",0,270.06460048
"Egypt",0,101.23318902
"El Salvador",0,215.93487107
"Equatorial Guinea",38.6610277689116,750.74928627
"Eritrea",0.15930214673376,10.65961855
"Estonia",0,1057.76180424
"Ethiopia",7.0434419948983,14.04323536
"Fiji",0,153.0510915
"Finland",0,4253.8644363
"France",0,4940.96210783
"Gabon",22.4554305221899,263.33276432
"Gambia",23.684038234909,26.37122177
"Georgia",0,261.87692087
"Germany",0,4718.15917267
"Ghana",18.9883875402338,68.51149554
"Greece",0,3078.40821387
"Grenada",0,474.09007171
"Guatemala",0,198.5067007
"Guinea",32.7204204288435,25.97621308
"Guinea-Bissau",33.0394103073111,33.13959396
"Guyana",0.51387461459404,153.50783449
"Haiti",0.6076490570458,35.33440734
"Honduras",0.009923440655344,115.68858452
"Hungary",0,1118.72597813
"Iceland",0,4929.15294483
"India",0.23379173407253,43.12475092
"Indonesia",0.32916891602709,53.36093578
"Iran",0.000720634504268,276.56244084
"Iraq",0,160.73176522
"Ireland",0,5241.04343506
"Israel",0,2073.08312967
"Italy",0,3471.67858616
"Jamaica",0,272.32557757
"Japan",0,3253.10202246
"Jordan",0,329.55214282
"Kazakhstan",0,329.80684978
"Kenya",13.7196923326132,32.99259206
"Kuwait",0,1116.62940353
"Latvia",0,974.29906376
"Lebanon",0,555.76301814
"Lesotho",0,66.26062832
"Liberia",21.7485474610651,27.47533374
"Libya",0,468.62516883
"Lithuania",0,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0,326.64042808
"Madagascar",3.62904047238641,21.642137
"Malawi",15.6619059550656,21.2317324
"Malaysia",0.01089654997067,306.35306225
"Maldives",0,454.99057309
"Mali",38.5691896376878,33.62161099
"Malta",0,1596.18750451
"Mauritania",15.2368425927641,47.27623307
"Mauritius",0,395.07092927
"Mexico",0,597.703288
