"Country","Malaria","Water_per_Person"
"Afghanistan",0.036260530333904,2491.6
"Albania",0,13145.63
"Algeria",0,349.8231
"Angola",17.9804413745324,8938.79
"Argentina",0,20800.16
"Armenia",0,2581.4499
"Australia",0,23964.43
"Austria",0,9330.59
"Azerbaijan",0,4125.016
"Bahamas",0,61.109
"Bahrain",0,156.9873
"Bangladesh",0.94589917426268,7760.9844
"Barbados",0,273.102
"Belarus",0,5953.52
"Belgium",0,1754.5
"Belize",0,65881.0413
"Benin",26.8175354202145,3013.0182
"Bhutan",0,146431.84
"Bolivia",0.011416133279551,66553.4797
"Bosnia and Herzegovina",0,9550.71
"Botswana",0.31768219073639,6587.15
"Brazil",0.012238869231547,43486.53
"Brunei",0,22254.1
"Bulgaria",0,2768.91
"Burkina Faso",33.1234704240359,870.56
"Burundi",14.9252655702734,1533.8177
"Cambodia",0.6947135344589,33536.877
"Cameroon",24.1918422461298,15708.65
"Canada",0,89081.63
"Cape Verde",0.083084081090063,578.52
"Central African Rep.",24.1307412002364,33858.51
"Chad",36.7915992047012,4107.68
"Chile",0,55996.14
"China",0.000110291674605,2129.9392
"Colombia",0.013065220491927,46797.02
"Comoros",0,1466.2
"Congo, Dem. Rep.",32.638211544092,21156.29
"Congo, Rep.",29.6295703912223,225517.09
"Costa Rica",0,25552.59
"Cote d'Ivoire",23.1399005361076,4289.836
"Croatia",0,23156.17
"Cuba",0,3383.421
"Cyprus",0,922.416
"Czech Rep.",0,1290.612
"Denmark",0,1104.96
"Djibouti",0.16541229013316,366.52
"Dominican Rep.",0.017842964073192,2183.6422
"Ecuador",0,32146.65
"Egypt",0,772.58
"El Salvador",0,3730.968
"Equatorial Guinea",38.6610277689116,52457.53
"Eritrea",0.15930214673376,1342.67
"Estonia",0,9558.4086
"Ethiopia",7.0434419948983,1505.78
"Fiji",0,34260.137
"Finland",0,20907.6
"France",0,3321.38
"Gabon",22.4554305221899,125112.52
"Gambia",23.684038234909,4810.49
"Georgia",0,14286.097
"Germany",0,1863.48
"Ghana",18.9883875402338,2312.19
"Greece",0,6675.65
"Guatemala",0,8540.46
"Guinea",32.7204204288435,24615.15
"Guinea-Bissau",33.0394103073111,18838.92
"Guyana",0.51387461459404,326087.69
"Haiti",0.6076490570458,1484.7637
"Honduras",0.009923440655344,13765.7208
"Hungary",0,10339.58
"Iceland",0,569649.73
"India",0.23379173407253,1646.761
"Indonesia",0.32916891602709,12400.35
"Iran",0.000720634504268,1956.9468
"Iraq",0,2652.438
"Ireland",0,12318.71
"Israel",0,261.38
"Italy",0,3254.57
"Jamaica",0,3484.766
"Japan",0,3360.6
"Jordan",0,163.5548
"Kazakhstan",0,7157.341
"Kenya",13.7196923326132,839.86
"Korea, Dem. Rep.",0,3253.6051
"Korea, Rep.",0,1450.55
"Kuwait",0,7.197
"Kyrgyzstan",0,3913.569
"Laos",0.1118950306828,57913.998
"Latvia",0,15486.0326
"Lebanon",0,1110.3984
"Lesotho",0,1514.872
"Liberia",21.7485474610651,64823.93
"Libya",0,99.36
"Lithuania",0,7306.02
"Luxembourg",0,6719.3
"Macedonia, FYR",0,3142.83
"Madagascar",3.62904047238641,17589.63
"Malawi",15.6619059550656,1273.33
"Malaysia",0.01089654997067,22210.53
"Maldives",0,99.902
"Mali",38.5691896376878,8355.35
"Malta",0,124.76899
"Mauritania",15.2368425927641,3745.51
"Mauritius",0,2198.1165
"Mexico",0,4340.3532
"Moldova",0,3039.625
"Mongolia",0,13360.82
"Morocco",0,939.94
"Mozambique",15.7319061402238,10352.646
"Myanmar",2.12611135410149,21612.6118
"Namibia",2.11096167923597,8656.0097
"Nepal",0.010932949586803,7604.54
"Netherlands",0,5555.89
"New Zealand",0,78993.42
"Nicaragua",0,35552.613
"Niger",27.465285771024,2449.638
"Nigeria",36.0584169015047,1977.61
"Norway",0,81822.22
"Oman",0,549.81
"Pakistan",0.10099437298327,1399.687
"Panama",0,45012.407
"Papua New Guinea",4.92015620770986,129158.17
"Paraguay",0,55853.83
"Peru",0.027916860305673,69340.29
"Philippines",0.017890679895035,5552.74
"Poland",0,1615.09
"Portugal",0,6494.2
"Qatar",0,70.6186
"Romania",0,9842.682
"Russia",0,31470.529
"Rwanda",6.04456002004928,1003.77
"Sao Tome and Principe",0.7773027594248,14053.092
"Saudi Arabia",0,99.27
"Senegal",19.4949641022151,3213.92
"Sierra Leone",24.7341748329771,27861.48
"Singapore",0,136.92
"Slovak Republic",0,9298.23
"Slovenia",0,15928.381
"Solomon Islands",2.18508997429306,92351.17
"Somalia",11.2307540540746,1740.59
"South Africa",0.046731241300888,1035.57
"Spain",0,2540.62
"Sri Lanka",0,2603.15
"Sudan",26.5702440119726,1710.53
"Suriname",0.20462451401678,267971.08
"Swaziland",0.028538812785388,3978.426
"Sweden",0,19166.84
"Switzerland",0,7176.58
"Syria",0,865.4875
"Tajikistan",0,2406.685
"Tanzania",16.2275252022019,2439.765
"Thailand",0.071660884315787,6461.5144
"Togo",24.1126951224671,2293.13
"Trinidad and Tobago",0,2890.625
"Tunisia",0,449.8189
"Turkey",0,2889.0272
"Turkmenistan",0,5045.458
"Uganda",29.0311421754286,2207.46
"Ukraine",0,2997.373
"United Arab Emirates",0,35.306
"United Kingdom",0,2429.26
"United States",0,10074.58
"Uruguay",0,41726.76
"Uzbekistan",0,1868.385
"Venezuela",0.001670773986049,45351.788
"Vietnam",0.018744832618687,10338.159
"Yemen, Rep.",0.31093240707791,96.63
"Zambia",21.5846833361599,8994.4
"Zimbabwe",3.23540625264763,1511.92
