"Country","Measles","Health_Spending_per_Person"
"Afghanistan",1.43623231018204,31.80972721
"Albania",0,275.14252038
"Algeria",0.30792486633261,185.84823354
"Angola",1.45927095908613,148.87881676
"Argentina",0,698.45126835
"Armenia",0,142.71827452
"Australia",0,4229.03306558
"Austria",0,5153.35866142
"Azerbaijan",0.024138555307465,233.86044575
"Bahamas",0,1833.42556935
"Bahrain",0,793.46605183
"Barbados",0,958.17848445
"Belarus",0,373.3470911
"Belgium",0,4754.27522232
"Belize",0,218.95707454
"Benin",0.28675597066896,33
"Bhutan",0,94.06479136
"Bolivia",0,85.35091165
"Bosnia and Herzegovina",0,505.60255386
"Botswana",0,535.99084407
"Brazil",0,714.98985619
"Brunei",0,877.06180369
"Bulgaria",0,474.17284604
"Burkina Faso",0.04855796711377,36.5127274
"Burundi",1.78007754507848,18.31932186
"Cambodia",0.47605867699972,38.85543014
"Cameroon",1.02089063123414,63.83446755
"Canada",0,4622.62643606
"Cape Verde",1.66168162180126,155.65526461
"Chad",0.010031519032801,28.03009406
"Chile",0,764.79717839
"China",0.025753106020354,156.59905287
"Colombia",0,376.99900347
"Comoros",0,34.45666035
"Congo, Dem. Rep.",1.41888696200536,13.70413496
"Congo, Rep.",0,80.40646768
"Costa Rica",0,617.698283
"Cote d'Ivoire",0.00138529098037,71.8341187
"Croatia",0,1224.05169259
"Cuba",0,584.63866145
"Cyprus",0,1917.63775016
"Denmark",0,6345.45678188
"Djibouti",0.20676536266645,82.4769433
"Ecuador",0,270.06460048
"Egypt",0.076919832165889,101.23318902
"El Salvador",0,215.93487107
"Equatorial Guinea",13.0466007022024,750.74928627
"Eritrea",0.92285381556107,10.65961855
"Estonia",0,1057.76180424
"Ethiopia",0.06045734201074,14.04323536
"Fiji",0,153.0510915
"Finland",0,4253.8644363
"France",0,4940.96210783
"Gabon",0.6827664685801,263.33276432
"Gambia",0.96569333507922,26.37122177
"Georgia",0,261.87692087
"Germany",0,4718.15917267
"Ghana",1.47386370395828,68.51149554
"Greece",0,3078.40821387
"Grenada",0,474.09007171
"Guatemala",0,198.5067007
"Guinea",4.65868205451194,25.97621308
"Guinea-Bissau",4.46270563070341,33.13959396
"Guyana",0,153.50783449
"Haiti",0,35.33440734
"Honduras",0,115.68858452
"Hungary",0,1118.72597813
"Iceland",0,4929.15294483
"India",3.01993375504527,43.12475092
"Indonesia",0.12915555020501,53.36093578
"Iran",0,276.56244084
"Iraq",0.10380696142194,160.73176522
"Ireland",0,5241.04343506
"Israel",0,2073.08312967
"Italy",0,3471.67858616
"Jamaica",0,272.32557757
"Japan",0,3253.10202246
"Jordan",0,329.55214282
"Kazakhstan",0.003286597911038,329.80684978
"Kenya",1.04095991374904,32.99259206
"Kuwait",0,1116.62940353
"Latvia",0,974.29906376
"Lebanon",0.06066396712013,555.76301814
"Lesotho",0,66.26062832
"Liberia",2.64723072162822,27.47533374
"Libya",0,468.62516883
"Lithuania",0,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0,326.64042808
"Madagascar",0,21.642137
"Malawi",0,21.2317324
"Malaysia",0.016344824956005,306.35306225
"Maldives",0,454.99057309
"Mali",0.016594450078363,33.62161099
"Malta",0,1596.18750451
"Mauritania",0,47.27623307
"Mauritius",0,395.07092927
"Mexico",0,597.703288
"Micronesia, Fed. Sts.",0,306.0551423
"Moldova",0,193.56839177
"Mongolia",0,120.31288077
"Montenegro",0,573.91692048
"Morocco",0.004640722962761,147.36903771
"Mozambique",0,18.09859681
