"Country","Measles","Water_per_Person"
"Afghanistan",1.43623231018204,2491.6
"Albania",0,13145.63
"Algeria",0.30792486633261,349.8231
"Angola",1.45927095908613,8938.79
"Argentina",0,20800.16
"Armenia",0,2581.4499
"Australia",0,23964.43
"Austria",0,9330.59
"Azerbaijan",0.024138555307465,4125.016
"Bahamas",0,61.109
"Bahrain",0,156.9873
"Bangladesh",0.47294958713134,7760.9844
"Barbados",0,273.102
"Belarus",0,5953.52
"Belgium",0,1754.5
"Belize",0,65881.0413
"Benin",0.28675597066896,3013.0182
"Bhutan",0,146431.84
"Bolivia",0,66553.4797
"Bosnia and Herzegovina",0,9550.71
"Botswana",0,6587.15
"Brazil",0,43486.53
"Brunei",0,22254.1
"Bulgaria",0,2768.91
"Burkina Faso",0.04855796711377,870.56
"Burundi",1.78007754507848,1533.8177
"Cambodia",0.47605867699972,33536.877
"Cameroon",1.02089063123414,15708.65
"Canada",0,89081.63
"Cape Verde",1.66168162180126,578.52
"Central African Rep.",0.006495488882971,33858.51
"Chad",0.010031519032801,4107.68
"Chile",0,55996.14
"China",0.025753106020354,2129.9392
"Colombia",0,46797.02
"Comoros",0,1466.2
"Congo, Dem. Rep.",1.41888696200536,21156.29
"Congo, Rep.",0,225517.09
"Costa Rica",0,25552.59
"Cote d'Ivoire",0.00138529098037,4289.836
"Croatia",0,23156.17
"Cuba",0,3383.421
"Cyprus",0,922.416
"Czech Rep.",0,1290.612
"Denmark",0,1104.96
"Djibouti",0.20676536266645,366.52
"Dominican Rep.",0,2183.6422
"Ecuador",0,32146.65
"Egypt",0.076919832165889,772.58
"El Salvador",0,3730.968
"Equatorial Guinea",13.0466007022024,52457.53
"Eritrea",0.92285381556107,1342.67
"Estonia",0,9558.4086
"Ethiopia",0.06045734201074,1505.78
"Fiji",0,34260.137
"Finland",0,20907.6
"France",0,3321.38
"Gabon",0.6827664685801,125112.52
"Gambia",0.96569333507922,4810.49
"Georgia",0,14286.097
"Germany",0,1863.48
"Ghana",1.47386370395828,2312.19
"Greece",0,6675.65
"Guatemala",0,8540.46
"Guinea",4.65868205451194,24615.15
"Guinea-Bissau",4.46270563070341,18838.92
"Guyana",0,326087.69
"Haiti",0,1484.7637
"Honduras",0,13765.7208
"Hungary",0,10339.58
"Iceland",0,569649.73
"India",3.01993375504527,1646.761
"Indonesia",0.12915555020501,12400.35
"Iran",0,1956.9468
"Iraq",0.10380696142194,2652.438
"Ireland",0,12318.71
"Israel",0,261.38
"Italy",0,3254.57
"Jamaica",0,3484.766
"Japan",0,3360.6
"Jordan",0,163.5548
"Kazakhstan",0.003286597911038,7157.341
"Kenya",1.04095991374904,839.86
"Korea, Dem. Rep.",0,3253.6051
"Korea, Rep.",0,1450.55
"Kuwait",0,7.197
"Kyrgyzstan",0,3913.569
"Laos",1.86099103661912,57913.998
"Latvia",0,15486.0326
"Lebanon",0.06066396712013,1110.3984
"Lesotho",0,1514.872
"Liberia",2.64723072162822,64823.93
"Libya",0,99.36
"Lithuania",0,7306.02
"Luxembourg",0,6719.3
"Macedonia, FYR",0,3142.83
"Madagascar",0,17589.63
"Malawi",0,1273.33
"Malaysia",0.016344824956005,22210.53
"Maldives",0,99.902
"Mali",0.016594450078363,8355.35
"Malta",0,124.76899
"Mauritania",0,3745.51
"Mauritius",0,2198.1165
"Mexico",0,4340.3532
"Moldova",0,3039.625
"Mongolia",0,13360.82
"Morocco",0.004640722962761,939.94
"Mozambique",0,10352.646
"Myanmar",0.40109757556619,21612.6118
"Namibia",2.68977375257486,8656.0097
"Nepal",0.10112978367793,7604.54
"Netherlands",0,5555.89
"New Zealand",0,78993.42
"Nicaragua",0,35552.613
"Niger",0.13407572495756,2449.638
"Nigeria",0.11728769144478,1977.61
"Norway",0,81822.22
"Oman",0,549.81
"Pakistan",0.051527741317997,1399.687
"Panama",0,45012.407
"Papua New Guinea",1.38228357112477,129158.17
"Paraguay",0,55853.83
"Peru",0,69340.29
"Philippines",0.096609671433191,5552.74
"Poland",0,1615.09
"Portugal",0,6494.2
"Qatar",0,70.6186
"Romania",0,9842.682
"Russia",0,31470.529
"Rwanda",1.16127015163508,1003.77
"Sao Tome and Principe",0.5829770695686,14053.092
"Saudi Arabia",0,99.27
"Senegal",3.10064990302494,3213.92
"Sierra Leone",9.08263992508054,27861.48
"Singapore",0,136.92
"Slovak Republic",0,9298.23
"Slovenia",0,15928.381
"Solomon Islands",0.19280205655527,92351.17
"Somalia",9.73332018019795,1740.59
"South Africa",0.000916298849037,1035.57
"Spain",0,2540.62
"Sri Lanka",0.09029197140207,2603.15
"Sudan",0.005401397109944,1710.53
"Suriname",0,267971.08
"Swaziland",0,3978.426
"Sweden",0,19166.84
"Switzerland",0,7176.58
"Syria",0.001694292099347,865.4875
"Tajikistan",0.025928902948116,2406.685
"Tanzania",0,2439.765
"Thailand",0.015355903781954,6461.5144
"Togo",0.094006608664589,2293.13
"Trinidad and Tobago",0,2890.625
"Tunisia",0,449.8189
"Turkey",0.033380535883705,2889.0272
"Turkmenistan",0.009036117361092,5045.458
"Uganda",2.77013413316976,2207.46
"Ukraine",0,2997.373
"United Arab Emirates",0,35.306
"United Kingdom",0,2429.26
"United States",0.000227329352948,10074.58
"Uruguay",0,41726.76
"Uzbekistan",0,1868.385
"Venezuela",0,45351.788
"Vietnam",0.25171632373665,10338.159
"Yemen, Rep.",0.52728461428421,96.63
"Zambia",0.73737068361636,8994.4
"Zimbabwe",7.09565364737778,1511.92
