"Country","Measles","Years_in_School"
"Afghanistan",1.43623231018204,2.6
"Albania",0,10.1
"Algeria",0.30792486633261,4.6
"Angola",1.45927095908613,5
"Argentina",0,9.7
"Armenia",0,11.2
"Australia",0,11.8
"Austria",0,11.8
"Azerbaijan",0.024138555307465,12
"Bahamas",0,10.4
"Bahrain",0,8.9
"Bangladesh",0.47294958713134,4.6
"Belarus",0,11.7
"Belgium",0,12
"Belize",0,8.4
"Benin",0.28675597066896,3.6
"Bolivia",0,8.3
"Bosnia and Herzegovina",0,9.2
"Botswana",0,5.1
"Brazil",0,6.7
"Bulgaria",0,11.8
"Burkina Faso",0.04855796711377,1.7
"Burundi",1.78007754507848,3.4
"Cambodia",0.47605867699972,5.3
"Cameroon",1.02089063123414,6.5
"Canada",0,14.1
"Cape Verde",1.66168162180126,4.9
"Central African Rep.",0.006495488882971,4.5
"Chad",0.010031519032801,2.6
"Chile",0,10.1
"China",0.025753106020354,7.6
"Colombia",0,6.5
"Comoros",0,4
"Congo, Dem. Rep.",1.41888696200536,7.5
"Congo, Rep.",0,8
"Costa Rica",0,8.3
"Cote d'Ivoire",0.00138529098037,4
"Croatia",0,10.9
"Cuba",0,10.4
"Cyprus",0,12.2
"Czech Rep.",0,13.6
"Denmark",0,12.8
"Djibouti",0.20676536266645,5.2
"Dominican Rep.",0,7.4
"Ecuador",0,8.4
"Egypt",0.076919832165889,7.8
"El Salvador",0,7.3
"Equatorial Guinea",13.0466007022024,7.6
"Eritrea",0.92285381556107,3.8
"Estonia",0,11
"Ethiopia",0.06045734201074,2.2
"Fiji",0,9.4
"Finland",0,11.8
"France",0,10.4
"Gabon",0.6827664685801,7.5
"Gambia",0.96569333507922,3.8
"Georgia",0,12.4
"Germany",0,12.3
"Ghana",1.47386370395828,7.7
"Greece",0,10.6
"Guatemala",0,4.9
"Guinea",4.65868205451194,2.9
"Guinea-Bissau",4.46270563070341,3
"Guyana",0,9.2
"Haiti",0,4.5
"Honduras",0,5.8
"Hungary",0,11.2
"India",3.01993375504527,6.1
"Indonesia",0.12915555020501,7.2
"Iran",0,7.2
"Iraq",0.10380696142194,6.1
"Ireland",0,11.1
"Israel",0,12.5
"Italy",0,10.6
"Jamaica",0,9.8
"Japan",0,12.1
"Jordan",0,10.4
"Kazakhstan",0.003286597911038,11.8
"Kenya",1.04095991374904,7.5
"Korea, Rep.",0,13
"Kuwait",0,7.4
"Kyrgyzstan",0,11.5
"Laos",1.86099103661912,4.4
"Latvia",0,11.9
"Lebanon",0.06066396712013,8.7
"Lesotho",0,5.8
"Liberia",2.64723072162822,5.8
"Lithuania",0,12.2
"Luxembourg",0,11.5
"Macedonia, FYR",0,10.6
"Madagascar",0,5.2
"Malawi",0,5.7
"Malaysia",0.016344824956005,8.2
"Maldives",0,4.1
"Mali",0.016594450078363,1.9
"Mauritania",0,3
"Mauritius",0,8.9
"Mexico",0,8.2
"Moldova",0,11.2
"Mongolia",0,9
"Montenegro",0,11.6
"Morocco",0.004640722962761,4.6
"Mozambique",0,3.5
"Myanmar",0.40109757556619,5
"Namibia",2.68977375257486,6.8
"Nepal",0.10112978367793,4.1
"Netherlands",0,11.7
"New Zealand",0,12.4
"Nicaragua",0,5.6
"Niger",0.13407572495756,1.4
"Nigeria",0.11728769144478,6.6
"Norway",0,13.5
"Oman",0,6.6
"Pakistan",0.051527741317997,5.3
"Panama",0,9.2
"Papua New Guinea",1.38228357112477,4.8
"Paraguay",0,6.8
"Peru",0,9.6
"Philippines",0.096609671433191,8.8
"Poland",0,12.3
"Portugal",0,7.5
"Qatar",0,7.7
"Romania",0,12.1
"Russia",0,12.6
"Rwanda",1.16127015163508,4
"Saint Lucia",0,8.8
"Samoa",0,9.8
"Sao Tome and Principe",0.5829770695686,5.7
"Saudi Arabia",0,8.3
"Senegal",3.10064990302494,3.2
"Serbia",0,10.7
"Sierra Leone",9.08263992508054,3.1
"Singapore",0,8
"Slovak Republic",0,12.7
"Slovenia",0,11.9
"Solomon Islands",0.19280205655527,6.1
"Somalia",9.73332018019795,2.7
"South Africa",0.000916298849037,8.4
"Spain",0,8.9
"Sri Lanka",0.09029197140207,9.1
"Sudan",0.005401397109944,5.5
"Suriname",0,7.6
"Swaziland",0,7.2
"Sweden",0,12.3
"Switzerland",0,13.4
"Syria",0.001694292099347,7.3
"Tajikistan",0.025928902948116,11.5
"Tanzania",0,5.6
"Thailand",0.015355903781954,7
"Togo",0.094006608664589,5.1
"Tonga",0,11.2
"Trinidad and Tobago",0,9.5
"Tunisia",0,8
"Turkey",0.033380535883705,8
"Turkmenistan",0.009036117361092,11.4
"Uganda",2.77013413316976,6
"Ukraine",0,12
"United Arab Emirates",0,9.3
"United Kingdom",0,13
"United States",0.000227329352948,13.7
"Uruguay",0,9.4
"Uzbekistan",0,11.8
"Vanuatu",0.42456835550524,6.8
"Venezuela",0,8.5
"Vietnam",0.25171632373665,8
"Yemen, Rep.",0.52728461428421,3.5
"Zambia",0.73737068361636,7.4
"Zimbabwe",7.09565364737778,8.2
