"Country","Meningitis","Water_per_Person"
"Afghanistan",5.95697451594163,2491.6
"Albania",0.15192620727075,13145.63
"Algeria",0.44369173921563,349.8231
"Angola",3.47045396381422,8938.79
"Argentina",0.12042039776453,20800.16
"Armenia",1.37986668364964,2581.4499
"Australia",0.044897073459095,23964.43
"Austria",0.092275243870287,9330.59
"Azerbaijan",1.03795787822099,4125.016
"Bahamas",0.17711654268509,61.109
"Bahrain",0,156.9873
"Bangladesh",1.14067742592959,7760.9844
"Barbados",0,273.102
"Belarus",0.2595919214994,5953.52
"Belgium",0.16814070013788,1754.5
"Belize",0.13449899125757,65881.0413
"Benin",2.94656390269024,3013.0182
"Bhutan",2.9838600298386,146431.84
"Bolivia",1.36613061578623,66553.4797
"Bosnia and Herzegovina",0.087305744718002,9550.71
"Botswana",2.94385496749052,6587.15
"Brazil",0.29888606965463,43486.53
"Brunei",0.12861736334405,22254.1
"Bulgaria",0.17883919604903,2768.91
"Burkina Faso",1.95203027797355,870.56
"Burundi",3.69348073624584,1533.8177
"Cambodia",3.19125380570163,33536.877
"Cameroon",3.41480106831448,15708.65
"Canada",0.042480282069073,89081.63
"Cape Verde",1.08009305417082,578.52
"Central African Rep.",3.13082564159191,33858.51
"Chad",3.07365743165024,4107.68
"Chile",0.099514766000979,55996.14
"China",0.41045046704388,2129.9392
"Colombia",0.2874348508224,46797.02
"Comoros",4.14957105557628,1466.2
"Congo, Dem. Rep.",3.67697886222244,21156.29
"Congo, Rep.",2.44713860721026,225517.09
"Costa Rica",0.06628135107906,25552.59
"Cote d'Ivoire",2.66252926427196,4289.836
"Croatia",0.023713540431586,23156.17
"Cuba",0.085100588896075,3383.421
"Cyprus",0,922.416
"Czech Rep.",0.073332600007333,1290.612
"Denmark",0.016043896099729,1104.96
"Djibouti",1.44735753866512,366.52
"Dominican Rep.",0.34347705840894,2183.6422
"Ecuador",0.54835688775419,32146.65
"Egypt",0.9146016173015,772.58
"El Salvador",0.804272294428,3730.968
"Equatorial Guinea",2.43376954995212,52457.53
"Eritrea",1.04370371997978,1342.67
"Estonia",0.062758880381574,9558.4086
"Ethiopia",2.19747889650802,1505.78
"Fiji",0.11314137014199,34260.137
"Finland",0.033892560582952,20907.6
"France",0.046558774466636,3321.38
"Gabon",1.84599822986471,125112.52
"Gambia",1.0966348042425,4810.49
"Georgia",0.49833250277916,14286.097
"Germany",0.070580956356941,1863.48
"Ghana",0.78517940820737,2312.19
"Greece",0.018745899334521,6675.65
"Guatemala",1.10899523264599,8540.46
"Guinea",2.59070660502689,24615.15
"Guinea-Bissau",5.46296723758521,18838.92
"Guyana",0.80751725150492,326087.69
"Haiti",1.79366287923158,1484.7637
"Honduras",0.69960256620175,13765.7208
"Hungary",0.13184851619708,10339.58
"Iceland",0.21630975556998,569649.73
"India",1.11006485305417,1646.761
"Indonesia",0.71829444526862,12400.35
"Iran",0.32356489241647,1956.9468
"Iraq",1.03065483126073,2652.438
"Ireland",0.14471570599557,12318.71
"Israel",0.050038601206645,261.38
"Italy",0.036636746656897,3254.57
"Jamaica",0.47709923664122,3484.766
"Japan",0.012573871495033,3360.6
"Jordan",0.28678312185733,163.5548
"Kazakhstan",0.66717937594079,7157.341
"Kenya",2.43908592035329,839.86
"Korea, Dem. Rep.",1.93777125741182,3253.6051
"Korea, Rep.",0.026568363720899,1450.55
"Kuwait",0,7.197
"Kyrgyzstan",1.3470701224836,3913.569
"Laos",2.56769649356309,57913.998
"Latvia",0.043235764624497,15486.0326
"Lebanon",0.37914979450081,1110.3984
"Lesotho",2.10625642408209,1514.872
"Liberia",2.38594561144154,64823.93
"Libya",0.068137528788106,99.36
"Lithuania",0.12732365673542,7306.02
"Luxembourg",0,6719.3
"Macedonia, FYR",0,3142.83
"Madagascar",2.91603733226237,17589.63
"Malawi",2.65597594587823,1273.33
"Malaysia",0.023609191603119,22210.53
"Maldives",0.69868995633188,99.902
"Mali",1.9581451092468,8355.35
"Malta",0.27173913043478,124.76899
"Mauritania",2.53793001241177,3745.51
"Mauritius",0.2210921954455,2198.1165
"Mexico",0.062968603561387,4340.3532
"Moldova",0.28933253210478,3039.625
"Mongolia",1.49079334380918,13360.82
"Morocco",0.49346354170695,939.94
"Mozambique",2.95493776946694,10352.646
"Myanmar",1.93291765633489,21612.6118
"Namibia",0.85119422549837,8656.0097
"Nepal",1.07279567820503,7604.54
"Netherlands",0.07024217340091,5555.89
"New Zealand",0.12014898474108,78993.42
"Nicaragua",0.73587197256555,35552.613
"Niger",3.58589320994994,2449.638
"Nigeria",2.92588828007305,1977.61
"Norway",0.068883569546574,81822.22
"Oman",0.065179488015122,549.81
"Pakistan",1.16508907460111,1399.687
"Panama",0.27087521206678,45012.407
"Papua New Guinea",3.1802188454549,129158.17
"Paraguay",0.48150124279375,55853.83
"Peru",0.75703956475973,69340.29
"Philippines",1.10966942048957,5552.74
"Poland",0.048356678863296,1615.09
"Portugal",0.047786071315933,6494.2
"Qatar",0,70.6186
"Romania",0.070223075302544,9842.682
"Russia",0.18054057342016,31470.529
"Rwanda",2.86595518191992,1003.77
"Sao Tome and Principe",3.49786241741158,14053.092
"Saudi Arabia",0.079576989043772,99.27
"Senegal",0.98038381707442,3213.92
"Sierra Leone",2.78259466870992,27861.48
"Singapore",0.026892564205997,136.92
"Slovak Republic",0.072792123892195,9298.23
"Slovenia",0,15928.381
