"Country","NCD","Water_per_Person"
"Afghanistan",12.0243071676821,2491.6
"Albania",4.21052631578947,13145.63
"Algeria",1.1869103938639,349.8231
"Angola",6.99131675615311,8938.79
"Argentina",2.80303865639853,20800.16
"Armenia",2.6960472126693,2581.4499
"Australia",1.21596240618382,23964.43
"Austria",1.09412074874769,9330.59
"Azerbaijan",1.72590670448374,4125.016
"Bahamas",3.36521431101665,61.109
"Bahrain",3.57756153405839,156.9873
"Bangladesh",0.80972934862129,7760.9844
"Barbados",1.04931794333683,273.102
"Belarus",3.2604745340325,5953.52
"Belgium",1.24424118102028,1754.5
"Belize",2.55548083389375,65881.0413
"Benin",1.87269205334831,3013.0182
"Bhutan",4.068900040689,146431.84
"Bolivia",2.80836878676946,66553.4797
"Bosnia and Herzegovina",2.64827425644607,9550.71
"Botswana",3.43096765995298,6587.15
"Brazil",2.7299119896472,43486.53
"Brunei",1.67202572347267,22254.1
"Bulgaria",2.17358407505744,2768.91
"Burkina Faso",4.184309394718,870.56
"Burundi",4.06463050779054,1533.8177
"Cambodia",5.80404096318849,33536.877
"Cameroon",2.33569553321302,15708.65
"Canada",1.37636113903796,89081.63
"Cape Verde",1.66168162180126,578.52
"Central African Rep.",2.54623164212454,33858.51
"Chad",2.69847861982349,4107.68
"Chile",2.34058729634303,55996.14
"China",2.0499362100527,2129.9392
"Colombia",1.99135735664459,46797.02
"Comoros",2.89071242073853,1466.2
"Congo, Dem. Rep.",3.57372408452339,21156.29
"Congo, Rep.",2.15124276254758,225517.09
"Costa Rica",2.28007847711968,25552.59
"Cote d'Ivoire",1.30355881252857,4289.836
"Croatia",1.20939056201091,23156.17
"Cuba",1.71903189570072,3383.421
"Cyprus",1.31035177905453,922.416
"Czech Rep.",0.769992300077,1290.612
"Denmark",1.20329220747966,1104.96
"Djibouti",3.80448267306261,366.52
"Dominican Rep.",2.01179419925238,2183.6422
"Ecuador",3.4717400361061,32146.65
"Egypt",2.40585384735632,772.58
"El Salvador",2.88733753699653,3730.968
"Equatorial Guinea",1.1171401212895,52457.53
"Eritrea",1.90063940585792,1342.67
"Estonia",1.25517760763148,9558.4086
"Ethiopia",3.23656925598673,1505.78
"Fiji",3.11138767890479,34260.137
"Finland",1.03372309778004,20907.6
"France",1.01498128337266,3321.38
"Gabon",0.78391705651789,125112.52
