"Country","NCD","Years_in_School"
"Afghanistan",12.0243071676821,2.6
"Albania",4.21052631578947,10.1
"Algeria",1.1869103938639,4.6
"Angola",6.99131675615311,5
"Argentina",2.80303865639853,9.7
"Armenia",2.6960472126693,11.2
"Australia",1.21596240618382,11.8
"Austria",1.09412074874769,11.8
"Azerbaijan",1.72590670448374,12
"Bahamas",3.36521431101665,10.4
"Bahrain",3.57756153405839,8.9
"Bangladesh",0.80972934862129,4.6
"Belarus",3.2604745340325,11.7
"Belgium",1.24424118102028,12
"Belize",2.55548083389375,8.4
"Benin",1.87269205334831,3.6
"Bolivia",2.80836878676946,8.3
"Bosnia and Herzegovina",2.64827425644607,9.2
"Botswana",3.43096765995298,5.1
"Brazil",2.7299119896472,6.7
"Bulgaria",2.17358407505744,11.8
"Burkina Faso",4.184309394718,1.7
"Burundi",4.06463050779054,3.4
"Cambodia",5.80404096318849,5.3
"Cameroon",2.33569553321302,6.5
"Canada",1.37636113903796,14.1
"Cape Verde",1.66168162180126,4.9
"Central African Rep.",2.54623164212454,4.5
"Chad",2.69847861982349,2.6
"Chile",2.34058729634303,10.1
"China",2.0499362100527,7.6
"Colombia",1.99135735664459,6.5
"Comoros",2.89071242073853,4
"Congo, Dem. Rep.",3.57372408452339,7.5
"Congo, Rep.",2.15124276254758,8
"Costa Rica",2.28007847711968,8.3
"Cote d'Ivoire",1.30355881252857,4
"Croatia",1.20939056201091,10.9
"Cuba",1.71903189570072,10.4
"Cyprus",1.31035177905453,12.2
"Czech Rep.",0.769992300077,13.6
"Denmark",1.20329220747966,12.8
"Djibouti",3.80448267306261,5.2
"Dominican Rep.",2.01179419925238,7.4
"Ecuador",3.4717400361061,8.4
"Egypt",2.40585384735632,7.8
"El Salvador",2.88733753699653,7.3
"Equatorial Guinea",1.1171401212895,7.6
"Eritrea",1.90063940585792,3.8
"Estonia",1.25517760763148,11
"Ethiopia",3.23656925598673,2.2
"Fiji",3.11138767890479,9.4
"Finland",1.03372309778004,11.8
"France",1.01498128337266,10.4
"Gabon",0.78391705651789,7.5
"Gambia",1.554929946314,3.8
"Georgia",1.97416337639437,12.4
"Germany",1.05871434535412,12.3
"Ghana",0.74552388254033,7.7
"Greece",1.07788921173493,10.6
"Guatemala",2.80120708166358,4.9
"Guinea",1.80788482575203,2.9
"Guinea-Bissau",3.37011218318637,3
"Guyana",5.57921010130671,9.2
"Haiti",1.93276326578423,4.5
"Honduras",2.46597500285299,5.8
"Hungary",1.65317754924035,11.2
"India",2.75708526063505,6.1
"Indonesia",1.08632851768767,7.2
"Iran",2.54239853105863,7.2
"Iraq",0.92684786983878,6.1
"Ireland",1.56292962475217,11.1
"Israel",1.65127383981929,12.5
"Italy",1.29694083165415,10.6
"Jamaica",3.72137404580153,9.8
"Japan",1.37732253914827,12.1
"Jordan",2.19867060090623,10.4
"Kazakhstan",4.52893192141087,11.8
"Kenya",2.95292710226767,7.5
"Korea, Rep.",1.57417555046329,13
"Kuwait",2.98281973309574,7.4
"Kyrgyzstan",1.26391764578708,11.5
"Laos",3.18606376838906,4.4
"Latvia",2.16178823122487,11.9
"Lebanon",2.09290686564448,8.7
"Lesotho",0.85935262102549,5.8
"Liberia",2.764121428817,5.8
"Lithuania",1.94168576521518,12.2
"Luxembourg",0.73367571533382,11.5
"Macedonia, FYR",1.79831857213505,10.6
"Madagascar",3.11975251515495,5.2
"Malawi",2.10807650547064,5.7
"Malaysia",1.61813767064451,8.2
"Maldives",2.44541484716157,4.1
"Mali",4.42703051534987,1.9
"Mauritania",2.63981771363998,3
"Mauritius",2.98474463851426,8.9
"Mexico",4.31896282411746,8.2
"Moldova",3.85034831185596,11.2
