"Country","Pertussis","Energy_Production_per_Person"
"Albania",0,0.000362527216817
"Algeria",0.58925622148196,0.004706747653394
"Angola",2.67942311619623,0.005864105117407
"Argentina",0.072542408291887,0.002086386721477
"Armenia",0,0.000258865371456
"Australia",0,0.013992916970522
"Austria",0,0.001345537165453
"Azerbaijan",0.21724699776718,0.006555938660047
"Bahrain",0,0.016622412123619
"Bangladesh",0.5047322659213,0.000160813647121
"Belarus",0,0.000416531156354
"Belgium",0.016814070013788,0.001371882087879
"Benin",4.06432697203251,0.0002321532603
"Bolivia",0.99700897308076,0.001680905978147
"Bosnia and Herzegovina",0,0.001152223909719
"Botswana",0,0.000530446761905
"Brazil",0.01159471821936,0.001191397585079
"Brunei",0,0.054917269525208
"Bulgaria",0,0.001349447171389
"Cambodia",0.033213396069748,0.000261025965799
"Cameroon",0.95415647314234,0.000495881874608
"Canada",0,0.012184057353176
"Chile",0.059708859600588,0.000539191798706
"China",0.022113480758377,0.001497995339858
"Colombia",0.019597830737891,0.002079636278734
"Congo, Dem. Rep.",3.76498796804646,0.000362710778845
"Congo, Rep.",0.86369597901539,0.003452943548524
"Costa Rica",0.092793891510684,0.00059047319357
"Cote d'Ivoire",1.28416473880339,0.000601209079451
"Croatia",0,0.000895155630324
"Cuba",0,0.000505826222907
"Cyprus",0,7.6948860772e-05
"Czech Rep.",0,0.00316256053202
"Denmark",0,0.004842909407361
"Dominican Rep.",0.040146669164682,0.000194718171272
"Ecuador",0,0.002030823789869
"Egypt",0.076919832165889,0.00111700021876
"El Salvador",0,0.000507348406787
"Eritrea",0.37353606820329,0.000110275630968
"Estonia",0,0.003148217964527
"Ethiopia",1.14287007490891,0.000372341011368
"Finland",0,0.003105915655412
"France",0.001330250699047,0.002210556443689
"Gabon",2.50347705146036,0.009315025063607
"Georgia",0,0.000245451884812
"Germany",0,0.001619068047682
"Ghana",0.79971976761862,0.000294805842253
"Greece",0,0.000873416894214
"Guatemala",0.68925600116643,0.000393332961309
"Haiti",5.64088672835891,0.000204309384684
"Honduras",0.019846881310688,0.00028455476039
"Hungary",0,0.001047357353696
"Iceland",0,0.014018708194653
"India",3.19873315497486,0.000393236635946
"Indonesia",0.067303075703163,0.001378172511551
"Iran",0.007926979546952,0.004769087429561
"Iraq",2.46276719700019,0.003955705711546
"Ireland",0.014471570599557,0.000348353475618
"Israel",0.035741858004746,0.000549924820129
"Italy",0,0.000450335597824
"Jamaica",0.019083969465649,0.000181491110113
"Japan",0,0.000700872285069
"Jordan",0,4.7101087511e-05
"Kazakhstan",0,0.009084521867771
"Kenya",0.95067257429121,0.000393453557051
"Korea, Dem. Rep.",0.70908979766489,0.000862664643262
"Korea, Rep.",0,0.000937088488652
"Kuwait",0,0.060153133536157
"Kyrgyzstan",0.016630495339304,0.000228701232719
"Latvia",0,0.000787664923974
"Lebanon",0.06066396712013,3.9791068452e-05
"Libya",0,0.016349233123348
"Lithuania",0,0.001146803722485
"Luxembourg",0,0.000208005242604
"Macedonia, FYR",0,0.000791222416888
"Malaysia",0.016344824956005,0.003385857389031
"Malta",0,2.191107053e-06
"Mexico",0.002928772258669,0.00210930015033
"Moldova",0,2.7942875205e-05
"Mongolia",0.020145855997421,0.001914705447926
"Morocco",0.31092843850501,2.0217165532e-05
"Mozambique",1.40216931222968,0.000516198836694
"Myanmar",0.92968337808497,0.00048660132742
"Namibia",1.02143307059805,0.000147017253963
"Nepal",1.04409668553967,0.00029900930478
"Netherlands",0,0.004035977309457
"New Zealand",0.017164140677297,0.003503843907009
"Nicaragua",0.15717653782953,0.000300124548028
"Nigeria",5.36719756904255,0.001514915681224
"Norway",0,0.045823006642242
"Oman",0,0.024056725862289
"Pakistan",1.34534248241171,0.000377815318281
"Panama",0.35641475271944,0.000204879689839
"Paraguay",0.019520320653801,0.001208979843801
"Peru",0,0.00044437739523
"Philippines",0.034439558797943,0.000254834136361
"Poland",0,0.001867107969965
"Portugal",0,0.000421913277137
"Qatar",0,0.095367656117932
"Romania",0,0.001340226037197
"Russia",0.001294197658926,0.008758698749887
"Saudi Arabia",0,0.02213965133237
"Senegal",0.74432610840791,0.000104380432782
"Serbia",0,0.001096556573482
"Singapore",0,6.775468671e-06
"Slovak Republic",0,0.001179875632753
"Slovenia",0,0.00181952677968
"South Africa",0.000916298849037,0.003284120660682
"Spain",0.002035511534226,0.000674164002695
"Sri Lanka",0.016416722073104,0.0002477254954
"Sudan",0.91360773973908,0.000823217208601
"Sweden",0,0.00359787664049
"Switzerland",0,0.001690749252232
"Syria",0.001694292099347,0.00120615809917
"Tajikistan",0.046672025306609,0.000222377296524
"Tanzania",0.8507524953807,0.000413324728805
"Thailand",0.015355903781954,0.000943237123957
"Togo",0.77085419104963,0.00037013074802
"Trinidad and Tobago",0,0.032103501021757
"Tunisia",0,0.000736968038
"Turkey",0.023737269961746,0.000408588874274
"Turkmenistan",0.018072234722185,0.013909086417604
"Ukraine",0.006539694857838,0.001767466086839
"United Arab Emirates",0,0.030131013757401
"United Kingdom",0.006729538501709,0.002722567883522
"United States",0.008411186059073,0.005579862997973
"Uruguay",0,0.000413863316644
"Uzbekistan",0.016266275312132,0.002313162208795
"Venezuela",0.01670773986049,0.007412662147017
"Vietnam",0.02945616554365,0.000830691957149
"Yemen, Rep.",4.02793426203208,0.000674913790608
"Zambia",1.04706637073523,0.00056819834095
"Zimbabwe",4.78691858002203,0.000685276997397
