"Country","Pertussis","Health_Spending_per_Person"
"Afghanistan",0.86158173162951,31.80972721
"Albania",0,275.14252038
"Algeria",0.58925622148196,185.84823354
"Angola",2.67942311619623,148.87881676
"Argentina",0.072542408291887,698.45126835
"Armenia",0,142.71827452
"Australia",0,4229.03306558
"Austria",0,5153.35866142
"Azerbaijan",0.21724699776718,233.86044575
"Bahamas",0,1833.42556935
"Bahrain",0,793.46605183
"Barbados",0,958.17848445
"Belarus",0,373.3470911
"Belgium",0.016814070013788,4754.27522232
"Belize",0,218.95707454
"Benin",4.06432697203251,33
"Bhutan",0.47470500474705,94.06479136
"Bolivia",0.99700897308076,85.35091165
"Bosnia and Herzegovina",0,505.60255386
"Botswana",0,535.99084407
"Brazil",0.01159471821936,714.98985619
"Brunei",0,877.06180369
"Bulgaria",0,474.17284604
"Burkina Faso",1.13348168948429,36.5127274
"Burundi",0.56573314691766,18.31932186
"Cambodia",0.033213396069748,38.85543014
"Cameroon",0.95415647314234,63.83446755
"Canada",0,4622.62643606
"Cape Verde",0.33233632436025,155.65526461
"Chad",8.57293616543179,28.03009406
"Chile",0.059708859600588,764.79717839
"China",0.022113480758377,156.59905287
"Colombia",0.019597830737891,376.99900347
"Comoros",1.21223424095487,34.45666035
"Congo, Dem. Rep.",3.76498796804646,13.70413496
"Congo, Rep.",0.86369597901539,80.40646768
"Costa Rica",0.092793891510684,617.698283
"Cote d'Ivoire",1.28416473880339,71.8341187
"Croatia",0,1224.05169259
"Cuba",0,584.63866145
"Cyprus",0,1917.63775016
"Denmark",0,6345.45678188
"Djibouti",0.86841452319907,82.4769433
"Ecuador",0,270.06460048
"Egypt",0.076919832165889,101.23318902
"El Salvador",0,215.93487107
"Equatorial Guinea",5.98467922119374,750.74928627
"Eritrea",0.37353606820329,10.65961855
"Estonia",0,1057.76180424
"Ethiopia",1.14287007490891,14.04323536
"Fiji",0,153.0510915
"Finland",0,4253.8644363
"France",0.001330250699047,4940.96210783
"Gabon",2.50347705146036,263.33276432
"Gambia",0.42555977478067,26.37122177
"Georgia",0,261.87692087
"Germany",0,4718.15917267
"Ghana",0.79971976761862,68.51149554
"Greece",0,3078.40821387
"Grenada",0,474.09007171
"Guatemala",0.68925600116643,198.5067007
"Guinea",4.10790191013614,25.97621308
"Guinea-Bissau",4.3549851499623,33.13959396
"Guyana",0,153.50783449
"Haiti",5.64088672835891,35.33440734
"Honduras",0.019846881310688,115.68858452
"Hungary",0,1118.72597813
"Iceland",0,4929.15294483
"India",3.19873315497486,43.12475092
"Indonesia",0.067303075703163,53.36093578
"Iran",0.007926979546952,276.56244084
"Iraq",2.46276719700019,160.73176522
"Ireland",0.014471570599557,5241.04343506
"Israel",0.035741858004746,2073.08312967
"Italy",0,3471.67858616
"Jamaica",0.019083969465649,272.32557757
"Japan",0,3253.10202246
"Jordan",0,329.55214282
"Kazakhstan",0,329.80684978
"Kenya",0.95067257429121,32.99259206
"Kuwait",0,1116.62940353
"Latvia",0,974.29906376
"Lebanon",0.06066396712013,555.76301814
"Lesotho",0.96045292938143,66.26062832
"Liberia",4.47622649293499,27.47533374
"Libya",0,468.62516883
"Lithuania",0,934.40671484
"Luxembourg",0,8054.81635894
"Macedonia, FYR",0,326.64042808
"Madagascar",1.08696601157684,21.642137
"Malawi",0.58966006848743,21.2317324
"Malaysia",0.016344824956005,306.35306225
"Maldives",0,454.99057309
"Mali",3.89785194062874,33.62161099
"Malta",0,1596.18750451
"Mauritania",1.3708527074341,47.27623307
"Mauritius",0,395.07092927
"Mexico",0.002928772258669,597.703288
"Micronesia, Fed. Sts.",0,306.0551423
"Moldova",0,193.56839177
"Mongolia",0.020145855997421,120.31288077
"Montenegro",0,573.91692048
"Morocco",0.31092843850501,147.36903771
"Mozambique",1.40216931222968,18.09859681
"Myanmar",0.92968337808497,10.65229369
"Namibia",1.02143307059805,275.23664539
"Netherlands",0,5236.86553894
"New Zealand",0.017164140677297,2820.19798906
"Nicaragua",0.15717653782953,105.21340786
"Niger",4.33722321584421,19.45087717
"Nigeria",5.36719756904255,79.29829413
"Norway",0,8070.92644725
"Oman",0,479.01366884
"Pakistan",1.34534248241171,22.06499551
"Panama",0.35641475271944,493.08817356
"Papua New Guinea",0.30448903839462,39.89054017
"Paraguay",0.019520320653801,162.0668094
"Peru",0,256.32945861
"Philippines",0.034439558797943,64.67885035
"Poland",0,972.5138999
"Portugal",0,2383.88095707
"Qatar",0,1635.51268344
"Romania",0,516.84724414
"Russia",0.001294197658926,560.70749417
"Rwanda",0.35235119985509,44.07976003
"Samoa",0,168.19193756
"Sao Tome and Principe",0.1943256898562,82.83053087
"Saudi Arabia",0,581.01746674
"Senegal",0.74432610840791,65.58605669
"Serbia",0,673.41551388
"Sierra Leone",4.70487021279456,47.99418931
"Singapore",0,1434.29888612
"Slovak Republic",0,1398.66914518
"Slovenia",0,2257.5292104
"Solomon Islands",0.06426735218509,72.22520387
"South Africa",0.000916298849037,481.77771676
"Spain",0.002035511534226,3131.31302629
"Sri Lanka",0.016416722073104,67.73599135
"Sudan",0.91360773973908,96.75328571
"Suriname",0,403.79343468
"Swaziland",0.4851598173516,162.10472067
"Sweden",0,4865.99115069
"Switzerland",0,6998.97074141
"Syria",0.001694292099347,89.88517194
"Tajikistan",0.046672025306609,43.07761038
"Tanzania",0.8507524953807,26.75674493
"Thailand",0.015355903781954,158.41721834
"Togo",0.77085419104963,37.45616559
"Tonga",0,206.86163349
"Trinidad and Tobago",0,909.22308459
"Tunisia",0,246.21716072
"Turkey",0.023737269961746,623.77323607
"Turkmenistan",0.018072234722185,83.6494936
"Uganda",4.41583943592973,45.31764489
"Ukraine",0.006539694857838,259.64421464
"United Arab Emirates",0,1526.89647496
"United Kingdom",0.006729538501709,3801.44539817
"United States",0.008411186059073,7719.62742794
"Uruguay",0,720.56841515
"Uzbekistan",0.016266275312132,57.40209764
"Vanuatu",0,110.77253678
"Venezuela",0.01670773986049,598.30683221
"Vietnam",0.02945616554365,70.09052721
"Zambia",1.04706637073523,72.58389754
