"Country","Pertussis","Water_per_Person"
"Afghanistan",0.86158173162951,2491.6
"Albania",0,13145.63
"Algeria",0.58925622148196,349.8231
"Angola",2.67942311619623,8938.79
"Argentina",0.072542408291887,20800.16
"Armenia",0,2581.4499
"Australia",0,23964.43
"Austria",0,9330.59
"Azerbaijan",0.21724699776718,4125.016
"Bahamas",0,61.109
"Bahrain",0,156.9873
"Bangladesh",0.5047322659213,7760.9844
"Barbados",0,273.102
"Belarus",0,5953.52
"Belgium",0.016814070013788,1754.5
"Belize",0,65881.0413
"Benin",4.06432697203251,3013.0182
"Bhutan",0.47470500474705,146431.84
"Bolivia",0.99700897308076,66553.4797
"Bosnia and Herzegovina",0,9550.71
"Botswana",0,6587.15
"Brazil",0.01159471821936,43486.53
"Brunei",0,22254.1
"Bulgaria",0,2768.91
"Burkina Faso",1.13348168948429,870.56
"Burundi",0.56573314691766,1533.8177
"Cambodia",0.033213396069748,33536.877
"Cameroon",0.95415647314234,15708.65
"Canada",0,89081.63
"Cape Verde",0.33233632436025,578.52
"Central African Rep.",5.30681441738712,33858.51
"Chad",8.57293616543179,4107.68
"Chile",0.059708859600588,55996.14
"China",0.022113480758377,2129.9392
"Colombia",0.019597830737891,46797.02
"Comoros",1.21223424095487,1466.2
"Congo, Dem. Rep.",3.76498796804646,21156.29
"Congo, Rep.",0.86369597901539,225517.09
"Costa Rica",0.092793891510684,25552.59
"Cote d'Ivoire",1.28416473880339,4289.836
"Croatia",0,23156.17
"Cuba",0,3383.421
"Cyprus",0,922.416
"Czech Rep.",0,1290.612
"Denmark",0,1104.96
"Djibouti",0.86841452319907,366.52
"Dominican Rep.",0.040146669164682,2183.6422
"Ecuador",0,32146.65
"Egypt",0.076919832165889,772.58
"El Salvador",0,3730.968
"Equatorial Guinea",5.98467922119374,52457.53
"Eritrea",0.37353606820329,1342.67
"Estonia",0,9558.4086
"Ethiopia",1.14287007490891,1505.78
"Fiji",0,34260.137
"Finland",0,20907.6
"France",0.001330250699047,3321.38
"Gabon",2.50347705146036,125112.52
