"Country","Pneumonia","Water_per_Person"
"Afghanistan",57.3200157339171,2491.6
"Albania",2.30059685295713,13145.63
"Algeria",5.18433502225457,349.8231
"Angola",38.6596938762321,8938.79
"Argentina",0.92273943347281,20800.16
"Armenia",2.58990362161933,2581.4499
"Australia",0.11224268364774,23964.43
"Austria",0.039546533087266,9330.59
"Azerbaijan",6.47516746122744,4125.016
"Bahamas",0.88558271342543,61.109
"Bahrain",0.14310246136234,156.9873
"Bangladesh",5.80281734494499,7760.9844
"Barbados",0.34977264777894,273.102
"Belarus",0.10383676859976,5953.52
"Belgium",0.042035175034469,1754.5
"Belize",2.01748486886348,65881.0413
"Benin",16.4065380361313,3013.0182
"Bhutan",15.3940051539401,146431.84
"Bolivia",8.6305967593403,66553.4797
"Bosnia and Herzegovina",1.42599383039404,9550.71
"Botswana",2.16023889700743,6587.15
"Brazil",1.66931734808182,43486.53
"Brunei",0.12861736334405,22254.1
"Bulgaria",2.03601546271203,2768.91
"Burkina Faso",26.9593833415651,870.56
"Burundi",24.1931996713703,1533.8177
"Cambodia",23.62856352062,33536.877
"Cameroon",20.3865753591931,15708.65
"Canada",0.022656150436839,89081.63
"Cape Verde",2.65869059488202,578.52
"Central African Rep.",27.8266743746468,33858.51
"Chad",32.8572374400366,4107.68
"Chile",0.41796201720411,55996.14
"China",3.10796424454201,2129.9392
"Colombia",1.91405480206735,46797.02
"Comoros",19.9552405818724,1466.2
"Congo, Dem. Rep.",30.5325763626252,21156.29
"Congo, Rep.",17.393877355171,225517.09
"Costa Rica",0.34466302561111,25552.59
"Cote d'Ivoire",12.5105628437253,4289.836
"Croatia",0.11856770215793,23156.17
"Cuba",0.35742247336352,3383.421
"Cyprus",0.1007962906965,922.416
"Czech Rep.",0.18333150001833,1290.612
"Denmark",0.048131688299187,1104.96
"Djibouti",14.3495161690514,366.52
"Dominican Rep.",4.08603877276093,2183.6422
"Ecuador",3.03020591869363,32146.65
"Egypt",1.46792815191419,772.58
"El Salvador",1.8498262771844,3730.968
"Equatorial Guinea",14.044047239068,52457.53
"Eritrea",9.50319702928962,1342.67
"Estonia",0.062758880381574,9558.4086
"Ethiopia",12.7681380108565,1505.78
"Fiji",1.58397918198789,34260.137
"Finland",0.08473140145738,20907.6
"France",0.06518228425329,3321.38
"Gabon",6.06903527626754,125112.52
"Gambia",11.5719523373052,4810.49
"Georgia",4.08249319584467,14286.097
"Germany",0.060068899027184,1863.48
"Ghana",5.43148516552877,2312.19
"Greece",0.25306964101603,6675.65
"Guatemala",5.91832316386178,8540.46
"Guinea",17.0257362222092,24615.15
"Guinea-Bissau",30.2848437283597,18838.92
"Guyana",8.8826897665541,326087.69
"Haiti",12.8301803912381,1484.7637
"Honduras",4.10830443131242,13765.7208
"Hungary",0.34483458082314,10339.58
"Iceland",0,569649.73
"India",7.56471575911604,1646.761
"Indonesia",7.26707329731513,12400.35
"Iran",3.69685500689647,1956.9468
"Iraq",6.01127047009724,2652.438
"Ireland",0,12318.71
"Israel",0.071483716009493,261.38
"Italy",0.054955119985345,3254.57
"Jamaica",6.27862595419847,3484.766
"Japan",0.2089197109944,3360.6
"Jordan",1.17899727874682,163.5548
"Kazakhstan",4.27257728434988,7157.341
"Kenya",18.6987735527139,839.86
"Korea, Dem. Rep.",9.22122379118528,3253.6051
"Korea, Rep.",0.17269436418585,1450.55
"Kuwait",0.3486412675047,7.197
"Kyrgyzstan",7.00143853784685,3913.569
"Laos",15.5239632042025,57913.998
"Latvia",0.30265035237148,15486.0326
"Lebanon",0.57630768764123,1110.3984
"Lesotho",8.55982610746963,1514.872
"Liberia",19.5826314160965,64823.93
"Libya",0.899415380003,99.36
"Lithuania",0.2864782276547,7306.02
"Luxembourg",0,6719.3
"Macedonia, FYR",0.62941150024727,3142.83
"Madagascar",19.3689485677368,17589.63
"Malawi",10.4284640440992,1273.33
"Malaysia",0.17797698285428,22210.53
"Maldives",3.14410480349345,99.902
"Mali",25.1369042131465,8355.35
"Malta",0.54347826086957,124.76899
"Mauritania",16.5891702636113,3745.51
"Mauritius",1.05018792836613,2198.1165
"Mexico",1.90174945329585,4340.3532
"Moldova",2.67076183481338,3039.625
"Mongolia",9.9117611507313,13360.82
"Morocco",3.41557210059231,939.94
"Mozambique",16.0559224825128,10352.646
"Myanmar",14.0344924301414,21612.6118
"Namibia",3.91549343729252,8656.0097
"Nepal",5.23004975858681,7604.54
"Netherlands",0.064838929293148,5555.89
"New Zealand",0.17164140677297,78993.42
"Nicaragua",4.08658998356791,35552.613
"Niger",28.4746483041951,2449.638
"Nigeria",26.7711229408918,1977.61
"Norway",0,81822.22
"Oman",0.37478205608695,549.81
"Pakistan",9.78483701588048,1399.687
"Panama",2.73726530088533,45012.407
