"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia"
"Afghanistan",247614,88232,17,48816,12061,46,1822,7557,15254,1093,72716
"Albania",486,12,0,99,68,0,0,7,194,0,106
"Algeria",12927,3688,39,3045,645,0,220,317,848,421,3704
"Angola",129045,40542,2951,25633,4802,13911,1129,2685,5409,2073,29910
"Argentina",4348,83,15,900,649,0,0,83,1932,50,636
"Armenia",466,18,4,82,48,0,0,65,127,0,122
"Australia",606,5,0,126,108,0,0,12,325,0,30
"Austria",147,1,0,29,24,0,0,7,83,0,3
"Azerbaijan",3060,691,10,639,149,0,4,172,286,36,1073
"Bahamas",45,1,1,10,8,0,0,1,19,0,5
"Bahrain",88,1,0,18,17,0,0,0,50,0,2
"Bangladesh",69052,18360,60,13326,4119,3244,1622,3912,2777,1731,19901
"Barbados",12,0,1,5,2,0,0,0,3,0,1
"Belarus",619,5,0,74,191,0,0,25,314,0,10
"Belgium",296,8,0,59,54,0,0,20,148,2,5
"Belize",82,10,6,16,15,0,0,1,19,0,15
"Benin",28117,4966,530,3856,859,9165,98,1007,640,1389,5607
"Bhutan",676,161,0,136,41,0,0,44,60,7,227
"Bolivia",7663,2070,28,1543,392,3,0,359,738,262,2268
"Bosnia and Herzegovina",227,6,0,46,32,0,0,3,91,0,49
"Botswana",707,98,0,120,71,15,0,139,162,0,102
"Brazil",33513,3474,149,12557,2672,38,0,928,8476,36,5183
"Brunei",26,1,0,4,6,0,0,1,13,0,1
"Bulgaria",462,14,0,87,42,0,0,13,158,0,148
"Burkina Faso",91373,21720,995,17153,2923,23875,35,1407,3016,817,19432
"Burundi",33124,10313,1095,6354,1702,4142,494,1025,1128,157,6714
"Cambodia",21088,2123,107,5541,1095,251,172,1153,2097,12,8537
"Cameroon",67523,14139,4362,10549,1636,17038,719,2405,1645,672,14358
"Canada",891,1,0,264,117,0,0,15,486,0,8
"Cape Verde",150,27,0,23,10,1,20,13,20,4,32
"Central African Rep.",18683,4312,1758,2630,292,3715,1,482,392,817,4284
"Chad",76540,21030,2850,9396,1394,18338,5,1532,1345,4273,16377
"Chile",1063,6,3,192,129,0,0,25,588,15,105
"China",163579,10392,1191,13835,36316,2,467,7443,37173,401,56359
"Colombia",7059,739,48,1489,902,12,0,264,1829,18,1758
"Comoros",1376,437,0,295,39,0,0,89,62,26,428
"Congo, Dem. Rep.",390839,98108,6281,57786,10462,94196,4095,10612,10314,10866,88119
